# 逐字稿 2025-06-30
# 來源音檔：錄製.m4a

[00:00] 然後他有哪一塊
[27:37] 你要把他業工作往他那邊
[27:39] 不然他這個也不清楚
[27:40] 他也不清楚
[27:41] 他沒辦法做死
[27:42] OK 好
[27:42] 對啊
[27:43] 這個你先把它弄給他
[27:46] 讓他知道怎麼加怎麼改
[27:48] 我在研究
[27:48] 而且小幫手那天掛掉是有內部錯誤
[27:51] 結果後面是怎樣
[27:53] 那就是我們的
[27:54] 簡單來講就是他未復刻有沒有
[27:56] 不知道為什麼Line就變掉了
[28:00] 網址掉了
[28:01] 應該講就是掉了
[28:02] 就是他那邊出了一個錯誤
[28:05] 就是他測試錯誤
[28:06] 然後我重新測一次就OK了
[28:10] 這個未來是你要處理的
[28:12] 所以你可能要了解這一塊
[28:15] 再來就是我覺得
[28:16] 立輔你可能要花點時間學
[28:18] 因為第三季我們就只放兩個東西
[28:20] 立輔要學一下
[28:21] 因為每個家都覺得他需要
[28:25] 不是立輔要弄
[28:26] 等於說我們要降網移
[28:29] 可以
[28:29] 就是我覺得我們可以拿個半個月
[28:32] 兩個禮拜到三個禮拜來學新東西
[28:34] 對
[28:35] 就是我們不做一些新東西
[28:37] 我們要學一些新東西
[28:39] 不是 因為立輔那個比較沒有那麼困難
[28:43] 因為這方面我上了研究
[28:45] 因為那時候他也在
[28:46] 沒關係 就是如果當大家都需要
[28:48] 我們是可以做一個版出去賣
[28:53] 所以那時候才說那個Post系統
[28:55] 他都要做一個Web版
[28:57] 不是…
[29:00] 你想說Web只是一個前端的畫面
[29:02] 我說我要的是我們的客人
[29:04] 門市對他的user
[29:07] 那個我們才會幫他賣錢
[29:09] 這個Post系統你做那個賣
[29:11] 不會有錢 不會有額外的錢
[29:15] 你參考馬尼的
[29:17] 我知道你的意思
[29:18] 但是好 那如果這部分的話
[29:21] 就是他們要這樣子網路上面購物
[29:25] 沒關係 你如果真的是他需要購物的話
[29:28] 像我還是這樣概念
[29:31] 幫他做推廣 推播
[29:33] Line的這個部分
[29:35] 都是他們要的
[29:36] 你Leaf ID是要做什麼面向
[29:38] Leaf ID是做門市對他客人的
[29:41] 那等於說我們要幫我們做一個
[29:44] 網購的網站
[29:46] 對 但是我們成本要盡量壓低
[29:47] 我做一個Demo版
[29:48] 你要的話要改什麼
[29:49] 你還要花錢
[29:51] 你懂我意思嗎
[29:51] 那是一個花錢的頭
[29:53] 你需要這個東西
[29:54] 我給你啊
[29:55] 免費給你
[29:56] 那裡面要加什麼都要花錢
[29:58] 那等於是說我們要加一個
[30:00] 就是網購平台
[30:02] 就是網購的網站
[30:03] 只是連到上面自己的政府
[30:06] 那網購網站
[30:07] 沒關係 我們參考馬尼的
[30:08] 我們不用自己從頭蓋
[30:09] 你參考馬尼的
[30:10] 我們看一下有什麼要選擇
[30:11] 因為他這部分有什麼
[30:12] 有包含圖片 商品 喜好
[30:15] 然後等於說我們還要連結我們的
[30:17] 就是等於說他按收購
[30:19] 就是他買路的話
[30:21] 我們還要再發個價格
[30:22] 就像購物車的功能
[30:24] 那可能要放資料裡面那些
[30:27] 等於說我們還要再額外
[30:28] 幫他們的N-User架一個
[30:31] 架一個資料庫去記錄說
[30:34] 他們今天各個客戶他們是怎麼樣
[30:36] 各個N-User他們放的
[30:38] 購物參差裡面內容是什麼
[30:40] 他們的帳號資訊是什麼
[30:42] 沒關係啦
[30:42] 我說一開始你也不用做那麼細
[30:45] 我覺得我們的概念是
[30:48] 假設馬尼花了300萬做這一套
[30:50] 那我們去把它做出來之後
[30:52] 我們做一個基本版
[30:55] 你不要
[30:55] 基本版到哪裡我還沒想到
[30:58] 那是不是基本版先給他們
[31:00] 這個基本版可能不用錢
[31:02] 可能很便宜
[31:03] 那進來之後你要加什麼加加
[31:05] 然後他就越來越強大
[31:08] 可是你這樣要打個板
[31:10] 因為基本版裡面的工程量就很多
[31:12] 就是包含什麼
[31:13] 我講的那些都是最基本的功能
[31:15] 就是N-User進去走市要有一個會員
[31:18] 那會員這些資料
[31:20] 雖然我們是有各個客戶的資料庫
[31:22] 但是好 那今天會員說
[31:24] OK 我想先看到這個商品
[31:27] 先把它叫做購物參差
[31:29] 購物車裡面
[31:30] OK 好 進入這個購物車
[31:32] 是不是需要額外的一個
[31:34] 可能是資料
[31:35] N-User他們專用的這種資料庫
[31:37] 去進入他們
[31:38] 看他們放的每一筆資料是什麼
[31:42] 或者我們可以像
[31:43] 你像現在地標網通關
[31:44] 就是我只修價格而已
[31:46] 他線上能購物嗎
[31:50] 所以你是說地標網
[31:52] 先看 能看得到資訊就好
[31:54] 那額外的東西也要編輯
[31:55] 但是圖片 商品圖片
[31:57] 因為我們現在只要附送
[31:58] 我要做的是一個整合
[32:00] 就是我在網路上看到價格
[32:02] 像我們之前有加一個WebPrice
[32:04] 加一個網頁上看到價格
[32:08] 網頁上看到價格
[32:10] 馬尼不是有一個網頁
[32:11] 馬尼有一個網頁
[32:12] 也有一個Line的那個Lib
[32:15] 他上面都可以賣
[32:16] 他上面 我們在上面裡面
[32:17] 有加一個欄位叫WebPrice
[32:20] 就在網路上賣的價格
[32:22] 有這一欄
[32:23] 商品 我們的商品
[32:24] 我是希望不論是圖片或者是價格
[32:28] 我們在我們的Post把它整合在一起
[32:30] 你可以上網圖片跟上網價格
[32:33] 或者是圖片由我們提供
[32:34] 然後我們等於是大家都要這個東西
[32:40] 但是你叫一個人花這麼多錢去做
[32:42] 他們花不起
[32:44] 我給你一個基本版
[32:45] 我要的是汐水長流
[32:47] 我一個月我可以給你多收個2000塊
[32:49] 就是有一個Lib加網頁版的
[32:52] 這是很有機會做到
[32:54] 但是這個
[32:56] 我必須講也要花很長的時間
[32:58] 因為它等於說
[33:00] 我們額外再做一個網頁版的系統出來
[33:03] 你知道嗎
[33:05] 我不能夠認同
[33:06] 它就是一個Demo客戶銷售品這樣的東西
[33:11] 它沒有
[33:12] 不像Post做網頁
[33:14] 你要花很多心力
[33:16] 但是你只要把圖片能秀在你的Lib後
[33:19] 它可以導到
[33:20] 我覺得如果我們一開始資源太少
[33:23] 我們就只要秀在Lib上面就好了
[33:25] 我們現在有什麼手機點了之後
[33:27] 你可以去點
[33:27] 不是 你秀在Lib上面
[33:28] 就等於說你做了一個網頁
[33:30] 所以因為Lib外掛了就是一個網頁
[33:32] 那個網頁
[33:33] 不同家的網頁可能讀取的資料
[33:37] 會不一樣而已
[33:38] 還在同一台主機上
[33:43] 這有什麼感覺
[33:44] 我跟老闆講的東西是不同評語上面
[33:48] 我覺得是每一個客戶加一個網站
[33:50] 我的概念是我加一個網站
[33:52] 每個人風格不一樣
[33:53] Style 1,Style 2,Style 3
[33:55] 然後掛的Combat不一樣
[33:56] 都會資料不一樣
[33:58] 全部人是滿多同款
[33:59] 換個圖 換個Banner這樣子
[34:03] 可是你還要自己再去加一個網站的
[34:06] 就一個畫面
[34:07] 就一個就好了
[34:08] 對 我知道是一個
[34:10] 但是
[34:11] 我好想講
[34:13] 就是裡面細部的系統功能連接那些
[34:18] 不用啊
[34:18] 其實就只要連類似一個
[34:20] 像DM的網頁這樣
[34:22] 你是說只做DM的訊查網頁
[34:25] 那很簡單嘛
[34:26] 我要點什麼
[34:27] 就可以點進去
[34:29] 所以它只是一個
[34:30] 只有一個網頁一個網址
[34:33] 沒有其他連接的東西
[34:34] 它也不用Login
[34:35] 我知道你是誰
[34:36] 我看你的UID我就知道你是誰
[34:39] 你曾經買過什麼
[34:39] 我都知道
[34:44] 但是這個東西
[34:45] 我簡單講
[34:46] 我再建一顆搖錢樹
[34:47] 你們聽著
[34:48] 一顆搖錢樹
[34:49] 這個東西一進去之後
[34:50] 你要加什麼加什麼就花錢
[34:52] 它是搖錢樹
[34:54] 最好是全部人都知道
[34:56] 先不要看到一個入口
[34:57] 對啊
[34:58] 它是一顆搖錢樹
[35:03] 這個
[35:04] 等一下
[35:04] 你到時候
[35:06] 我簡單講是我們做這些
[35:07] 我們還是希望我們的RBUS提升
[35:10] 因為你現在就算只跟客戶收這個
[35:12] 2600 2600
[35:13] 你根本賺不了錢
[35:14] 不是 我知道那是
[35:16] 我知道你的意思
[35:17] 但是這等於是這個功能的延遲
[35:25] 一種是我們推播
[35:26] 一種是讓它的End user可以來看
[35:31] End user可以來看它的銷售的內容
[35:33] 這件事情是跟那個
[35:35] 我覺得同等重要性
[35:37] 一個是我們推播
[35:38] 一個是它可以來看
[35:44] 一季要完成
[35:47] 我沒說一季要完成
[35:49] 我是說你可以先有個Demo畫面
[35:51] 因為現在我去Demo
[35:53] 我們都是在講那個
[35:54] 我都畫餅而已
[35:56] 因為你沒有Line
[35:56] 你Line那個錢都
[35:58] 我沒辦法秀給它看
[36:00] 然後你沒辦法秀說你有來看
[36:03] 所以它現在我們都在畫餅
[36:05] 它看不到東西
[36:08] 所以我現在說除了畫餅之後
[36:09] 我是不是可以給它一個
[36:10] 簡單的Demo網頁
[36:12] 你可以說我們去產生幾個
[36:14] 現在比較常賣的手機型號
[36:17] POPO
[36:18] 然後再點進去
[36:20] 那個Line也不用太麻煩
[36:23] 就是你就是參考碼
[36:25] 你只要一個圖片
[36:27] 現在賣什麼東西點開來
[36:29] 你這樣懂我意思嗎
[36:30] 你就是說他們現在有賣賣
[36:32] 你現在要請我們弄個官方帳號
[36:34] 可以 我還可以
[36:36] 官方帳號有一個按鈕
[36:37] 那按了之後就是現在有在賣商品
[36:40] 我可以給你這個
[36:42] 這個不難嗎
[36:44] 不是 那你界定這些商品的
[36:47] 放在什麼地方
[36:49] 你可以從POST的後台說
[36:51] 我現在要在這個LIF上面
[36:53] 寫是哪些商品
[36:54] 等於是說點VB那邊再多增加一個
[36:58] 去設定這個
[36:59] 它要多畫一個畫面或怎麼樣
[37:01] 就是我可以秀給它看
[37:04] 你加入之後
[37:05] 為什麼我們要它把官方帳號拖給我們
[37:09] 有這個功能
[37:11] 會有很多好處
[37:12] 好 那我有問
[37:13] 那放在上面的圖片放在哪
[37:16] 我們自己先存起來
[37:17] 其實我們一開始可以先
[37:19] 你自己PO圖上去
[37:21] 你自己PO圖
[37:22] 我們沒有版權的問題
[37:23] 其實這種東西到最後會是
[37:26] 我們去把圖片我們自己拍
[37:29] 全部人一起用
[37:30] 他們會賣的東西不都一樣嗎
[37:33] 等於說你額外爬走再多拍一個圖片
[37:35] 沒有要爬圖片
[37:36] 你要一開始叫他自己上傳圖片
[37:39] 在商品那邊自己上傳圖片
[37:40] 我們本來就有上傳圖片的功能
[37:43] 是可以
[37:44] 但是資料庫變得很肥
[37:46] 肥的好了
[37:48] 我們上傳的圖片是放在另外一個
[37:50] File12的上面
[37:51] 它是用Google在同步
[37:52] 它不是接在資料庫的圖片
[37:54] 不是Google的總空間沒有那麼大
[37:58] 所以我會先寫一個圖片
[38:00] 我其實也沒跟大家講說
[38:01] 有商品圖片上傳的功能
[38:05] 等於說你之後要把這個功能
[38:07] 它本來其實裡面有寫
[38:08] 就是它有一個File12
[38:10] 只是一直沒啟用
[38:11] 有寫好
[38:12] 但是我也沒試過也沒啟用
[38:13] 你可以去找那個File12相關的
[38:16] 相關的程式
[38:17] 它是可以把檔案上傳上去
[38:19] 它可以有自己的儲存空間
[38:22] 那儲存空間
[38:23] 我的概念是儲存空間很難賣錢
[38:26] 因為大家都比得要死
[38:27] 儲存空間很難賣錢
[38:28] 應用可以賣錢
[38:29] 儲存空間賣不了錢
[38:31] 但是我們透過Google再同步
[38:33] 我們可以同步好幾份到不同的地方去
[38:35] 那個圖片我們只要限制一個在200K以內
[38:37] 一個在200K裡面
[38:40] 然後你不要照過幾個圖片這樣
[38:42] 就可以控制它總量
[38:43] 它也不要寄在
[38:44] 那個東西就不要寄在資料庫裡面
[38:47] 因為那個每一個圖可能會有好幾種
[38:50] 對
[38:52] 對 只是很費空間
[38:54] 很費那個Google的空間
[38:57] 那你可以把它做在NAS上面
[39:00] NAS也可以同步好幾份
[39:04] 做了啦
[39:06] 我說未來的方向
[39:07] 如果我們需要的是
[39:10] 大幅度的增加我們營業人
[39:12] 讓大家有錢賺
[39:13] 那我們就要創造一些謠言書
[39:15] 讓人家進來然後一直搖它
[39:18] 好 拼了
[39:19] 那個房子付不出來
[39:21] 你肯定付不出來 我講實在的
[39:24] 你如果沒有拼
[39:24] 你的機率很低
[39:27] 應該要翻倍吧
[39:28] 你現在
[39:29] 你帶700還是帶多少
[39:31] 我帶1200
[39:32] 1200 我啊
[39:33] 那你一樣要走
[39:38] 而且是拆兩半 清清安安
[39:40] 然後跟純那個
[39:42] 對啊
[39:43] 你倘待
[39:43] 你有非拼不可的道理
[39:46] 我的話是現行我夠用
[39:48] 你們都要拼
[39:50] 因為你們需要賺
[39:51] 賺到比較多錢我不用
[39:53] 對不對
[39:54] 不是還好
[39:56] 我房子要另一個時間
[39:57] 你房子壓力沒那麼大
[39:59] 不是
[40:00] 他有 他家裡有
[40:02] 我是家裡有底的
[40:05] 對
[40:07] 大哥
[40:09] 我爸在巴黎應該就兩套
[40:13] 還有一塊地在桃園
[40:15] 所以我沒有這方面的壓力
[40:17] 好啊
[40:18] 不過期間我還有土地在重劃群
[40:24] 你看你最糗了
[40:25] 就我
[40:26] 不過我講實在
[40:28] 我也是從零拼起來的
[40:29] 我不是家裡給我的
[40:30] 我沒有一個東西是家裡給我的
[40:32] 我是零拼起來的
[40:34] 我是我爸拼起來的
[40:36] 所以說還是這樣子
[40:37] 今天有這個機會
[40:39] 所以我是想要創造遙距組
[40:41] 就是它可以穩定的帶來一大堆收入
[40:44] 在我們既有的客戶下面
[40:45] 它是可以拼出一般成就的
[40:48] 它不會是從零你真的
[40:52] 我們當初那一間一間跑
[40:53] 我跟你講第一年超慘的
[40:55] 第一年我們那時候好像6萬快不到
[40:59] 還要四個人分
[41:00] 一年6萬
[41:03] 所以大家都做失敗
[41:04] 不是
[41:04] 老闆
[41:05] 我比較傳統就是
[41:06] 我需要一步一步
[41:07] 因為現在講的那些有點
[41:10] 有點太遠
[41:11] 對 有點就是還沒爬起來
[41:13] 你就要飛的那種
[41:14] 沒有 我說我有一個方向
[41:16] 有一個方法
[41:18] 當然大家可以反駁我說
[41:19] 這個地方哪裡不實際
[41:21] 對
[41:22] 我這個人是很務實的
[41:23] 你如果這個不實際
[41:24] 我們要改實際的
[41:26] 我有想法
[41:27] 算天馬行空
[41:28] 但是你如果真的做得出來
[41:30] 應該是有錢賺
[41:31] 不是 因為我必須講
[41:33] 因為你講的那些是需要一個
[41:36] 一個資料庫跟我們後端的要有個打底
[41:40] 目前這個底是沒有的
[41:41] 所以很難在上面建東西
[41:43] 我們的底其實不是城市
[41:45] 我們的底是那400個客戶
[41:47] 對 我知道是說我們的底是
[41:50] 但我們資料庫裡面也沒有這些資料
[41:52] 沒有啦
[41:52] 所以就是你有客群才是最難的
[41:56] 你不覺得我所有的客人
[41:57] 他要的都是客人
[41:59] 他要的不是你什麼功能
[42:00] 他要的是客人
[42:02] 你像你的那個Line發送跟那個
[42:05] 你可以AIS什麼生成那些
[42:07] 都是他要的是客人
[42:10] 對 所以說你做一個立輔
[42:12] 可以只是單純秀秀圖片
[42:14] 一起放
[42:15] 不是 如果是
[42:16] 你只是單純想弄一個
[42:18] 就是只能看的網頁的話
[42:21] 我一開始我也沒有要購物車
[42:23] 為什麼是這些人都是開門市的
[42:27] 他現在都是門市底的
[42:29] 或許未來他有機會是用郵寄
[42:32] 但是他們現在的主業都是在門市
[42:37] OK 我先講
[42:38] 目前來講你可以做一個可以看的網頁
[42:41] 但是他可能就沒有其他的
[42:43] 就是他只是一個海報
[42:45] 我懂意思
[42:47] 他就是電子EDM這樣
[42:49] EDM的那個DM
[42:50] DM發給你
[42:51] 對 他就只是一個網頁的DM
[42:54] 對…我們現在那個Line
[42:55] 我們也是要發EDM
[42:57] 那現在如果他有那個按鈕可以點
[42:59] 那是很棒的事
[43:00] 就一個按鈕
[43:01] 就秀出我們現在有現在的熱門商品
[43:04] 是可以
[43:05] 圖片你自己上傳
[43:06] 你自己上傳圖片
[43:07] 我只要限制它的大小跟K數
[43:09] 你上傳這個你想賣多少錢
[43:11] 就是我們可能在網頁上面設定好
[43:13] 它可以放圖片去
[43:14] 熱門熱門
[43:15] 然後往下面的字
[43:16] 我跟你講 當你這個東西一旦開發出來
[43:19] 我們第一個版本可以
[43:21] 你就是你先進來就好
[43:23] 要什麼再額外付錢
[43:25] 先看到這個東西
[43:26] 就跟現在遊戲一樣
[43:28] 我那天看什麼緋聞港口那個遊戲
[43:30] 沒有廣告
[43:31] 然後沒有什麼
[43:32] 沒有廣告沒有
[43:34] 那我都在想說
[43:34] 那總是
[43:35] 你總是下的這個遊戲
[43:37] 那遊戲不是要賺錢嗎
[43:38] 它應該要賣什麼道具
[43:41] 不然你怎麼賺錢
[43:43] 那我們現在是說創造一個
[43:44] 他們進來
[43:45] 他們就會有興趣的東西
[43:47] 我們要針對他們有興趣的
[43:49] 也確實可以協助他們隱喻
[43:51] 應該是這個是對的
[43:53] 方向是對的
[43:56] 當然沒有那麼好做
[43:59] 沒有什麼錢是很好賺的
[44:02] 沒有 我知道
[44:03] 我意思是說
[44:05] 目前以現階段的
[44:07] 其實在系統條件來講
[44:09] 做那個
[44:10] 它的商業價值沒那麼高
[44:12] 應該這樣講
[44:14] 我的看法是
[44:16] 一開始如果是只做那個
[44:17] 如果我們沒有花非常高的成本
[44:19] 就只要秀秀EDM
[44:21] 你可以點了看秀秀EDM
[44:22] 這樣已經不錯了
[44:24] 搞死一狗票了
[44:25] 因為現在沒有任何人在做這一塊
[44:28] 不然就是它的成本很高
[44:29] 現在光是我們幫人家架設
[44:31] 官方帳號這一個就要8000塊
[44:33] 它就收8000
[44:35] 這也是一般的行為
[44:38] 那只加官方帳號
[44:39] 你叫客戶付8000
[44:40] 他不會付
[44:41] 但是沒有EDM功能
[44:42] 8000他就會付
[44:44] 但是我要的是進來的時候
[44:45] 他還可以
[44:46] 他還可以加加加
[44:47] 可是我們現在是免費幫別人加官方帳號
[44:49] 對 因為我覺得是
[44:52] 你要把那個
[44:54] DM或者是一些功能
[44:55] 你秀給他看讓他有感之後
[44:58] 他們不是沒錢
[44:59] 他們會把錢花在很刀口上
[45:03] 當他確認你是刀口就一直花
[45:05] 這個沒有什麼好講的
[45:09] 沒關係 那就是
[45:11] 不然第三季就是我說
[45:12] 要拿兩個禮拜到三個禮拜來做那個
[45:15] 來學新的Leaf
[45:17] 那我們就做一個小東西很簡單
[45:19] 你一個人讓他圖片可以上傳到商品上面
[45:22] 一個人可以讓他在手機Leaf上面秀出來
[45:25] 搞定
[45:26] 我們就做一個我們可以進進自己的功能
[45:30] 對
[45:31] 好不好 就
[45:32] 是可以
[45:32] 第三季就是可以賬戶
[45:34] 然後把payment
[45:36] 然後再加一個我們自己在學習的東西
[45:39] 好 對
[45:40] 好不好
[45:40] 當然這樣不行
[45:42] 主要是我現在覺得問題最複雜的
[45:44] 應該還是這個問題
[45:46] 這個問題
[45:47] 沒關係 你遇到什麼狀況
[45:50] 你需要討論
[45:51] 你需要討論你就跟我講說幾號
[45:53] 我覺得這個東西要討論
[45:55] 然後我就盡快安排時間過來
[45:57] 對
[45:58] 主要是還是跟媒合有關
[46:00] 目前也是卡在媒合的
[46:02] 好 那你肯把你媒合遇到問題再提出來
[46:05] 我講的我沒有要十分準
[46:08] 九分準我就很棒了
[46:10] 還有沒有全部東西都要
[46:11] 也不用 太冷門的也不需要
[46:13] 我先講我可能會先嘗試使用
[46:17] 確定GPD去媒合
[46:19] 可以啊 但是成本要控好
[46:21] 對 主要是價格
[46:22] 如果我的確定大概要多少錢
[46:25] 那你評估完之後你再跟我講多少錢
[46:27] 然後我們再決定這一筆錢該不該花
[46:29] 它的功能性跟它的那個對比上該不該花
[46:32] 該花我們就花
[46:36] 好 切飯切飯
[46:39] 你要加油了 加油
[46:40] 加油了
[46:42] 我是從零拼的
[46:44] 我也沒有那個
[46:46] 我家裡也沒有那個
[46:47] 學長這是我的榜樣
[46:49] 我是從零拼的
[46:50] 這個
[46:50] 一家一家跑
[46:52] 是高雄跑
[46:53] 可以的
[46:54] 本來就是有機會
[46:55] 在這上面你的機會更高
[46:58] 我也願意把一些時間來做這些新東西
[47:00] 那個可能沒有產值
[47:02] 可能我覺得你要自己覺得它是有趣的
[47:06] 對
[47:07] 有趣 你覺得它有趣的
[47:09] 它你做得好自然就會帶錢來
[47:11] 錢是附加的
[47:12] OK
[47:13] 吃飯
[48:11] celebration
