# 逐字稿 2026-04-22
# 來源音檔：錄製 (2).m4a

[00:00] 所有的AI模型都是這些預訓內的
[32:42] 它的MHC1就是所謂的
[32:44] 抗原的就是免疫
[32:46] 反應的抗原的表達
[32:48] 增加
[32:50] 就是因為為什麼會講到這個
[32:52] 事情真的是有一個前因後果就是說
[32:54] 其實我們現在矮症的治療
[32:56] 裡面我們所謂的免疫
[32:58] 抑制劑是我們現在矮症是
[33:00] 比較有重要的一個方向
[33:02] 就是說矮細胞裡面
[33:04] 為什麼矮細胞
[33:06] 這個其他的免疫
[33:08] 的免疫系統沒有去打矮細胞
[33:10] 就是因為矮細胞
[33:12] 會分泌各種各樣的東西
[33:14] 把這個免疫系統給關掉
[33:16] 那你所以因為
[33:18] 你把免疫系統被關掉以後
[33:20] 矮細胞才長大
[33:22] 矮細胞主要的問題就是說矮細胞長大
[33:24] 把你給變成濕光把你所有
[33:26] 部門破壞掉了所以就死掉了
[33:28] 所以基本上來說
[33:30] 矮細胞的治療有幾個方針
[33:32] 第一些事情就是說
[33:34] 要怎麼讓你的免疫系統
[33:36] 認真矮細胞
[33:38] 然後接下來你要讓你的免疫系統不能被關掉
[33:40] 然後他就知道
[33:42] 對
[33:44] 被關掉還是壞掉
[33:46] 免疫系統這件事情
[33:48] 是不會壞掉
[33:50] 就是說你的整體的
[33:52] 其實你的所有的細胞裡面
[33:54] 你的這些免疫系統
[33:56] 讓他都是有一些不自信的反應
[33:58] 但是這些東西是
[34:00] 你要怎麼講說他壞掉
[34:02] 這件事情很難講
[34:04] 因為他其實概念是這樣就是說
[34:06] 我們有一些所謂的
[34:08] 抗原成健細胞
[34:10] 抗原成健細胞會是把
[34:12] 某一些的你的
[34:14] 細胞裡面的
[34:16] 這些蛋白質的片段呈現出來
[34:18] 那我們的免疫系統
[34:20] 會去認這個所謂的抗原成健細胞
[34:22] 那他會去
[34:24] 分辨說你這個細胞
[34:26] 是外來的還是
[34:28] 你自己的這樣
[34:30] 譬如說如果你有感染
[34:32] 譬如說你的病毒病菌的感染
[34:34] 會發燒
[34:36] 那就是因為免疫系統針對到
[34:38] 外來的病菌病毒的感染
[34:40] 然後我們就會有
[34:42] 這樣的反應譬如說
[34:44] 我們會有多次的細胞會把這個分掉
[34:46] 然後分掉之後他裡面的
[34:48] 各種各樣的這種染色體
[34:50] 然後這種所謂的基因的序列
[34:52] 就會被分解出來
[34:54] 然後就會被看成全新細胞的能源出來
[34:56] 那我們就會知道說
[34:58] 這個東西不是人的
[35:00] 那他就會引發進入了
[35:02] 更多的疾病反應
[35:04] 那免疫反應裡面
[35:06] 其實我們都知道前陣子的
[35:08] COVID-19其實是很多數人死亡
[35:10] 是因為我們已經有剝奪反應
[35:12] 所以剝奪反應也不行
[35:14] 所以這些東西是
[35:16] 非常巧妙的調整結構
[35:18] 那癌細胞的治療
[35:20] 裡面現在目前來講
[35:22] 有幾件事情是很重要的
[35:24] 像現在的標法標誤
[35:26] 想辦法打掉他的一些
[35:28] 成長或是針對他
[35:30] 某一些特定的
[35:32] 某一些的蛋白質
[35:34] 在正常的細胞裡面打
[35:36] 就譬如說這樣子來的話
[35:38] 他會有所謂的
[35:40] 荷爾蒙相關的受苦
[35:42] 那這些荷爾蒙相關的受苦
[35:44] 基本上我們想辦法
[35:46] 把藥物跟受荷爾蒙
[35:48] 結合在一起然後就可以去
[35:50] 把這些荷爾蒙相關受苦
[35:52] 把這些荷爾蒙相關受苦
[35:54] 跟多種細胞打打打
[35:56] 所以現在目前各種各樣的藥物
[35:58] 其實最近這幾年
[36:00] 發展很快
[36:02] 可是我們要回過頭來就是說
[36:04] 其實現在癌細胞裡面
[36:06] 有各種各樣的機制
[36:08] 那這個機制裡面
[36:10] 首先癌細胞的
[36:12] 抗原呈現細胞
[36:14] 不夠多
[36:16] 就是沒有抗原呈現
[36:18] 所以大家這個我們理性
[36:20] 就會很大
[36:22] 接下來就是說癌細胞裡面
[36:24] 到底哪些細胞
[36:26] 因為你知道癌細胞跟正常細胞是不一樣的
[36:28] 它只是發生了一些突變
[36:30] 所以可是我們要想辦法
[36:32] 把那個突變讓
[36:34] 那個理性認識
[36:36] 所以它會有很多的
[36:38] 這種各種各樣的變化
[36:40] 那這個案例會
[36:42] 會變成是一個很著名的案例
[36:44] 就是說我們這個開始
[36:46] 希望大家希望用這種所謂的
[36:48] 蛋白質
[36:50] 用這種所謂的AI模式
[36:52] 然後去想辦法做藥物篩選
[36:54] 那它就做了這件事情
[36:56] 它就把四千種藥物
[36:58] 的名稱
[37:00] 或是這些相關的句子
[37:02] 這些相關的資料把它餵進去
[37:04] 然後就是說好
[37:06] 癌細胞加上沒有
[37:08] 肝島素加上這個藥物
[37:10] 它會不會導致
[37:12] 所謂的MSC1
[37:14] 就是第一型的抗蚊呈現細胞表現
[37:18] 然後我們要得到兩個重點
[37:20] 就是說
[37:22] 第一個狀態就是癌細胞
[37:24] 加上藥物
[37:26] 如果沒有肝島素的話
[37:28] 它要MSC1表現沒關係
[37:30] 不能表現
[37:32] 然後接下來我們要
[37:34] 這個細胞加上少量的肝島素
[37:36] 它可能會有點
[37:38] 肝反應或什麼之類的
[37:40] 它就會變這個
[37:42] MSC1就要提升
[37:44] 那為什麼呢這個事情就是說
[37:46] 即使我們在
[37:48] 腫瘤的裡面我剛講
[37:50] 那個我們通常稱之為
[37:52] 它有免疫逃避反應的
[37:54] 這叫做門腫就是它旁邊
[37:56] 的一層免疫反應
[37:58] 這種就是它免疫逃避反應
[38:00] 然後會去攻打
[38:02] 它會去打這個癌細胞
[38:04] 這個癌細胞就會當然做到功底
[38:06] 就可能可以做一些
[38:08] 消滅這個癌細胞或者說什麼
[38:10] 基本上癌症的治療
[38:12] 就是你現在如果沒有把
[38:14] 癌細胞在那裡
[38:16] 你要怎麼去治療它到目前為止
[38:18] 你都想辦法用各種
[38:20] 的方式去做
[38:22] 那其實現在目前都沒有一個完美的
[38:24] 有辦法讓大家知道
[38:26] 但是這種方法是一個目前免疫療法
[38:28] 相關的東西是一個可行的方向
[38:30] 那這一篇
[38:32] 論文最主要的一個亮點
[38:34] 就是它拿這個東西
[38:36] 這個五元模型
[38:38] 這個要求真的這個scale
[38:40] 這個模型然後把四千多種藥物
[38:42] 依序依照這個準則下去
[38:44] 然後挑出來
[38:46] 十九個
[38:48] 就四千個挑出來
[38:50] 然後就拿來做實驗
[38:52] 然後去做實驗說
[38:54] 剛剛說S-CNC跟MHC1
[38:56] 真的有被兩線出現
[38:58] 發現CX4945
[39:00] 這個藥物
[39:02] 它原本沒有
[39:04] 這樣子的一個
[39:06] 促進
[39:08] MHC1呈現的這個功能
[39:10] 可是五元模型說它可以
[39:12] 做實驗出來也可以
[39:14] 所以這邊論文就得到了
[39:16] 大家的重視
[39:18] 然後這家公司就
[39:20] 有故事推薦
[39:22] 這樣
[39:24] 整體的概念是這個樣子
[39:26] 這樣
[39:28] 它有一個
[39:30] 對
[39:32] 它拿九十塊
[39:34] 它有做實驗
[39:36] 沒有得到預期
[39:38] 沒有得到想像
[39:40] 所以我們知道
[39:42] 之後發現就是
[39:44] 再把它拿來做實驗
[39:46] 就是現在目前的狀況就是
[39:48] 你它可以宣稱
[39:50] 比如說
[39:52] 我可以幫你的藥法做心理採取
[39:54] 就是說我們現在
[39:56] 不是要拿藥嗎
[39:58] 它為什麼會前期
[40:00] 它們曾經這家公司叫SaleType
[40:02] 你可以現在去Google一下SaleType
[40:06] 同時它前陣子有發
[40:10] 新聞稿
[40:16] SaleType
[40:18] 然後
[40:20] 你要寄個什麼
[40:22] 對
[40:24] Sale C E L
[40:26] E Y P E
[40:28] 對
[40:30] 它就是
[40:32] Sale C E L
[40:34] Sale就是寫到
[40:36] C E L
[40:38] 然後不要太
[40:40] D Y E
[40:42] D Y E
[40:44] 太大字
[40:46] 對
[40:48] 對
[40:50] 就這個
[40:52] 就這個
[40:54] 對
[40:56] 就是發表
[40:58] 這篇錄的實驗室
[41:00] 然後
[41:02] 它們就
[41:04] 出來就是說
[41:06] 有人要投錢
[41:08] 它們就出來分裂一家公司
[41:10] SaleType就是希望拿這個模型
[41:12] 來把藥
[41:14] 去做什麼的分析
[41:16] 就是把這個模型
[41:18] 特意化成
[41:20] 一個包工人呈現
[41:22] 那你藥法可以有什麼需求
[41:24] 對不對
[41:26] 對,就是要求
[41:28] 我想要到
[41:30] 新的藥物在你這間公司
[41:32] 然後你就把它
[41:34] 帶回原地
[41:36] 那我覺得
[41:38] 它建議發錄
[41:40] 然後可以把這些東西都發卡
[41:42] 那是不是就是到你家說
[41:44] 你講的就是
[41:46] 我們一定要回
[41:48] 但是我相信
[41:50] 資料產業或這些東西
[41:52] 他們不守
[41:54] 這就是我剛剛不是講一個game
[41:56] 你知道我
[41:58] 我為什麼會拿這個東西給你玩
[42:00] 就是
[42:04] 可是我相信這個東西
[42:06] 沒有那麼難
[42:08] 但是他們都會懂
[42:10] 第一個要懂得很
[42:12] 第二個真的要
[42:14] 你會覺得說
[42:16] 為什麼你要討亞裔
[42:18] 然後做的事情是
[42:20] 我們現在上課在做的這個事情
[42:22] 所以他們
[42:24] 我問他們這幾個誤會
[42:26] 然後來分析一下說
[42:28] 我們這個一定要去
[42:30] 找這些公司幫我們做還是我們
[42:32] 自己研發,這件事情他們會做嗎
[42:34] 來
[42:36] 你問得起是非常關鍵的
[42:38] 但是在座各位大家都在理解
[42:40] 那你先想一想
[42:42] 如果是新的藥
[42:44] 那你要去找到一個人
[42:46] 組織一個團隊
[42:48] 去做這件事情
[42:50] 那個
[42:52] 我們就講在台灣就好
[42:54] 對
[42:56] 請人就
[42:58] 請人就是一件問題
[43:00] 你要找到適當的
[43:02] 你要找是公司的人
[43:04] 你要知道這些相關的細節
[43:06] 知道現在大語言模型的人
[43:08] 很少
[43:10] 你只要了解這些語言模型
[43:12] 細節的不多
[43:14] 訓練的過程真的不多
[43:16] 你要找人
[43:18] 就講就花200萬
[43:20] 找一個人來
[43:22] 一點零幾千百萬
[43:24] 你要找這個
[43:26] 然後你要找相關的東西
[43:28] 工作資本之類的幫他
[43:30] 然後又要幹嘛
[43:32] 他不是只有
[43:34] 你現在要先講這個事情是如果是調查
[43:36] 他找了AI的人
[43:38] 來花不到錢
[43:40] 他要找另外一個
[43:42] 他要想要把這些
[43:44] 所謂的生物實驗就沒了
[43:46] 你現在講的就是假設要去
[43:48] 研發我們的癌症藥物
[43:50] 現在要推行可能癌症藥物
[43:52] 很多東西的政策
[43:54] 那你的這些東西你要有這些相關的
[43:56] 生物背景
[43:58] 那這兩個人要放在一起
[44:00] 然後要想辦法讓他們溝通
[44:02] 然後要能夠產出結果
[44:04] 對不對
[44:06] 隨便弄好幾年不見
[44:08] 那
[44:10] 對啊
[44:12] 那你如果是在美國的話
[44:14] 這個東西要乘以
[44:16] 大概三到五倍
[44:18] 因為美國人他基本上你要起五個成本
[44:20] 我剛剛不是講發牌率
[44:22] 美國可能要二十萬美金
[44:24] 大概就是要
[44:26] 六百萬之類的
[44:28] 那你又要
[44:30] 各種各樣的成本要很貴
[44:32] 那你看你如果有一個公司
[44:34] 那我就花你十萬美金
[44:36] 如果是台灣的話
[44:38] 你只要花一百萬
[44:40] 做這些相關的認知
[44:42] 基本上
[44:44] 某種角度在講那個調漲
[44:46] 那個就很需要
[44:48] 回去看
[44:50] 他如果把四千
[44:52] 可能是二十然後再去做體驗
[44:54] 這件事情顯然就是有用的
[44:56] 他可以先幫你塞一塞
[44:58] 對不對
[45:00] 對
[45:02] 某種角度在講是怕的
[45:04] 但是他們其實就是說
[45:06] 原本他們也沒有想要開公司
[45:08] 原本這不就是
[45:10] 這是一個入門嗎
[45:12] 他們所有東西都公布出來
[45:14] 他一定是
[45:16] 發了以後
[45:18] 然後人家就跟他講說
[45:20] 你知道這個東西有搭上一下
[45:22] 然後那個教授就這樣在這裡
[45:24] 然後就
[45:26] 水域軍募資
[45:28] 第一個募資
[45:30] 就募六百萬美金
[45:32] 兩個
[45:34] 兩個研究生
[45:36] 不是
[45:38] 那個是教授
[45:40] 他們規程
[45:42] 就是完全
[45:44] 商業方面
[45:46] 本產問題
[45:48] 教授與我們同期
[45:50] 我們可能講到一些好點
[45:52] 然後我們開始做
[45:54] 有時候可能有更大公司
[45:56] 一些資本他就選
[45:58] 因為這些東西是沒有
[46:00] 他就選
[46:02] 其實
[46:04] 你講到這個東西
[46:06] 我再講一個非常非常有趣的例子
[46:08] 你們知道
[46:10] 柯澤這家公司
[46:12] 柯澤這家公司
[46:14] 開出到多少錢
[46:16] 四年
[46:18] 大概一年也行
[46:20] 四年
[46:22] 這樣子
[46:24] 那你知道他最近在談
[46:26] 要賣主那個
[46:28] 那個
[46:30] 就是那個
[46:32] 的space
[46:34] 對
[46:36] 你知道他賣多少
[46:38] 六百億美金
[46:40] 六百億美金
[46:42] 六百億美金
[46:46] 這已經被選為黑金了吧
[46:48] 你就想這件事情
[46:50] 就好了
[46:52] 六百億美金
[46:54] 還一年
[46:56] 然後他就選擇對的吧
[46:58] 他說你
[47:00] 六百億美金你可以六百億
[47:02] 你給我六百億
[47:06] 沒有就是他們有一個合作
[47:08] 他說如果你不想賣給我的話
[47:10] 如果你想賣給我
[47:12] 我六百億
[47:14] 你知道六百億美金有多少
[47:16] 兩兆
[47:20] 這是天文數字
[47:22] 那我要跟你講
[47:24] 柯澤這個概念
[47:26] 一拍手
[47:28] 到現在為止你也不選他
[47:30] 可是他解決了很多事情
[47:32] 什麼問題
[47:34] 以前我要叫AI模型
[47:36] 寫程式很麻煩
[47:38] 而且他
[47:40] 所有這些相關的東西
[47:42] 我自己要處理太多的
[47:44] 額外的用戶
[47:46] 我們一般人寫程式
[47:48] 到現在為止
[47:50] 都是在我們自發發展環境
[47:52] 然後寫程式的時候
[47:54] 以往你這個東西
[47:56] 要跟你的AI模型的對話環境
[47:58] 沒有關聯
[48:00] 那AI模型
[48:02] 也不知道你的開發環境裡面
[48:04] 各個檔案的關係
[48:06] 當時柯澤就想說
[48:08] 那我就做一個東西
[48:10] 把這個connect起來
[48:12] 然後接下來就有很多人開始回饋他們
[48:14] 你這個人在那邊問這個
[48:16] 越載越多人
[48:18] 然後他就解決各種各樣的問題
[48:20] 然後那時候大家就丟了一堆
[48:22] 各種各樣的使用狀況
[48:24] 然後他們就從這些使用狀況裡面
[48:26] 學到很多
[48:28] 然後就越來越開發越好用
[48:30] 那柯澤一出來沒多久以後
[48:32] 其他的這些人
[48:34] 大家都嚇到
[48:36] 為什麼cloud code會出來了
[48:38] 因為柯澤用了很多
[48:40] cloud的那個模型
[48:42] 然後大家發現
[48:44] 哇靠我這盤養大了
[48:46] 現在不就是養大了嗎
[48:48] 你說六百億
[48:50] 然後你現在
[48:52] 後面把我幹掉了
[48:54] 因為你可能後面
[48:56] 換其他人
[48:58] 那其他的這些
[49:00] 公司都警惕到這件事情
[49:02] 那我剛剛跟你講這件事情是
[49:04] 現在目前
[49:06] 我覺得
[49:08] 很多的機會
[49:10] 都可以出現
[49:12] 你可以
[49:14] 去看到
[49:16] 很多這些相關的機會
[49:18] 那這些機會裡面我剛剛講
[49:20] 你目前的這些AI的模型
[49:22] 在這裡
[49:24] 現在產業的需求
[49:26] 中間的這一大段gap是非常非常大
[49:30] 那有多少人做這個事情
[49:32] 幾乎沒有
[49:34] 幾乎沒有
[49:36] 在台灣裡面
[49:38] 基本上因為這個東西的變化這麼快
[49:40] 能夠跟得上的人
[49:42] 或是有些公司能夠跟得上這些東西的人
[49:44] 很少
[49:46] 那有沒有需求
[49:48] 有
[49:50] 這個就要問你了
[49:52] 你這個就是很典型的
[49:54] 其實你們的那個需求各方面非常的單純
[49:56] 對不對
[49:58] 但是沒有人做
[50:00] 所以公司就找你去做
[50:02] 可是這件事情
[50:04] 這件事情需求能夠解決
[50:06] 絕對是有用的
[50:08] 那諸如此類的這種需求
[50:10] 是非常多的
[50:12] 我覺得至少
[50:14] 在我最近在看到裡面
[50:16] 每一家公司他們都會想
[50:18] 有這樣子的東西
[50:20] 我在把這個東西限制
[50:22] 就是自己的知識庫
[50:24] 我命調
[50:26] 你只要能夠幫一家公司
[50:28] 在做瀏覽器端
[50:30] 一個非常方便的
[50:32] 一個應用
[50:34] 就是我這個公司
[50:36] 買了瀏覽器網頁或什麼之類
[50:38] 然後我能夠做他一些應用
[50:40] 這些應用裡面能夠引入
[50:42] 這些所謂的瀏覽器端不行
[50:44] 或是你可以幫他做一些
[50:46] 假設一些簡單的事情的整合
[50:48] 或是讓一些東西
[50:50] 原本我們要去做一些操作
[50:52] 一些AI相關的東西都有點困難的
[50:54] 那我們都可以讓這個東西
[50:56] 變成是很快速的整合
[50:58] 然後這個東西
[51:00] 是確實能夠解決公司的需求
[51:02] 像Cursor
[51:04] 為什麼能夠紅得那麼快
[51:06] 因為它解決了整治開發的需求
[51:08] ClockTor為什麼紅那麼快
[51:10] 因為它解決了公司裡面
[51:12] 這樣子的AI模式的開發
[51:14] 那你一定要找到這種東西
[51:16] 你一定要找到
[51:18] 實際的痛
[51:20] 它才有這個目前給你
[51:22] 但是好
[51:24] 再多各位我們不可能
[51:26] 就是我覺得我們就是玩
[51:28] 對不對
[51:30] 像其實我覺得現在大家來修這門課
[51:32] 然後我們就在這些好論文
[51:34] 就希望在這些裡面
[51:36] 給大家這種更多的新思維
[51:38] 幫我們看到
[51:40] 因為我其實事實上是最近這段時間
[51:42] 看到多這個變化
[51:44] 這些也都是在
[51:46] 實際產業界裡面看到的
[51:48] 這些事情
[51:50] 那我剛剛講
[51:52] 其實如果你有能力的話
[51:54] 那很多時候
[51:56] 這些東西別人沒有想到
[51:58] 或是別人沒有做
[52:00] 很多時候他人家想到人家沒有做
[52:02] 那以前很多時候沒有做的原因
[52:06] 那個你知道你要
[52:08] 弄一個團隊
[52:10] 弄一個團隊
[52:12] 開發一些手勢把這個東西弄好
[52:14] 現在不用了
[52:16] 現在不用了
[52:18] 現在你講到一些東西把它做好
[52:20] 可能就是幾個禮拜的事情
[52:22] 可以這樣
[52:24] 那你們現在我覺得機會
[52:26] 非常非常多的原因就在這裡
[52:28] 你在公司裡面也好
[52:30] 你在外面也好
[52:32] 你都可以做很多的嘗試
[52:34] 就像我剛剛講過
[52:36] 像比特幣啊
[52:38] 貨幣啊
[52:40] 或是這些相關的東西
[52:42] 我覺得各方面的機會是非常非常多的
[52:44] 那你一定要培養好
[52:46] 自己這些相關的能力
[52:52] 有沒有什麼想法
[52:54] 剛剛問的這些東西
[52:56] 然後看到這些事情
[52:58] 那你覺得你對
[53:00] 最近的這些相關的
[53:02] AI的環境的變遷
[53:04] 跟你要怎麼樣去營運這個
[53:06] 這部分喔
[53:08] 我先提
[53:10] 我之前也是在做
[53:12] 兒童的資訊教育
[53:14] 之前的話
[53:16] 前一陣子我在
[53:18] 進入到現在這個工作之前
[53:20] 就是在做例如說
[53:22] Scratch就是機路程式的開發
[53:24] 後來AI開始起來
[53:26] 我換到新的工作
[53:28] 然後我也在想說要不要設計一個新的課程
[53:30] 像之前很紅的Vibcode
[53:32] 這個部分
[53:34] 然後又再進入到
[53:36] 最近的Agent的時候
[53:38] 基本上我只要簡單講幾個想法
[53:40] 給他之後
[53:42] 然後他基本上就可以等收成果
[53:44] 就等於又再
[53:46] 更迭代一層就是說
[53:48] 我甚至連Vibcode都不太需要
[53:50] 因為原本Vibcode的時候我還要想說
[53:52] 我的提示紙要怎麼樣讓他
[53:54] 講得更精準一點
[53:56] 讓我做出來的成果
[53:58] 跟我所想要的方向是合的
[54:00] 那現在的話
[54:02] 又有Agent他自己
[54:04] 的Humvees架構
[54:06] 就變成說
[54:08] 我原本需要在整個開發
[54:10] 的過程中去跟他講說
[54:12] 你這裡做不好那裡哪裡做不好
[54:14] 現在變成是讓幾個
[54:16] LM幾個Agent他自己跟
[54:18] 自己討論迭代然後我就等收成果斷
[54:20] 這樣就變成說
[54:22] 我原本就是他整個
[54:24] 變化速度太快
[54:26] 反過來說現在的AI
[54:28] 長成這個樣子進化又
[54:30] 更快那我們可以在對
[54:32] 就是中學生小學
[54:34] 他們可以教些什麼東西
[54:36] 因為感覺現在是我今天
[54:38] 設計的東西想好要教
[54:40] 他們明天好像不需要
[54:42] 迭代真的是非常的
[54:44] 快速
[54:46] 你講的完全正確
[54:48] 但是這個完全
[54:50] 是說Vlog by Coding這件事情
[54:52] 還是會往這裡
[54:54] 那Agent這個東西毫無疑問
[54:56] 是現在目前的進度的確實
[54:58] 可是Agent現在目前的成熟度
[55:00] 就是好
[55:02] 其實現在大家都想要做什麼
[55:04] 大家想要開發
[55:06] 公司裡面解決
[55:08] 公司各種各樣行政事務
[55:10] 知識管理各方面的Agent
[55:12] 為什麼
[55:14] 他要做這個
[55:16] 我花
[55:18] 這個人力就是
[55:20] 你剛剛講的完全正確
[55:22] 人力就是錢
[55:24] 我
[55:26] 我現在花多少人在這上面
[55:28] 對不對
[55:30] 那這些人省起來
[55:32] 可以省多少錢
[55:34] 一年七百萬一年省
[55:36] 一個人至少是一百萬
[55:38] 因為你要wait什麼之類的
[55:40] 所以我在講
[55:42] 的這些東西基本上來說
[55:44] 你在未來
[55:46] 的這一兩年我相信
[55:48] 這個部分會有大變化
[55:50] 就是說現在大家還沒有意料
[55:52] 到或意想到
[55:54] 這些Agent的概念
[55:56] 但是你要去想一件事情
[55:58] 現在是因為大家
[56:00] 沒有意識到這件事情
[56:02] 而且大家不覺得要跟你關係
[56:04] 但是
[56:06] 一年以後各大
[56:08] 公司
[56:10] 假設Gmail裡面
[56:12] 全部都有這些
[56:14] 對不對
[56:16] 這很正常嘛你看你以為Google在幹嘛
[56:18] 好不好
[56:20] G嘛弄很小
[56:22] 對不對
[56:24] 它就準備要很細
[56:26] Gmail有什麼之類的相關的東西
[56:28] 背後接上Gemina
[56:30] 接上這些相關的東西
[56:32] 那它就可以幹嘛
[56:34] 你想要這樣幹
[56:36] 就幹什麼
[56:38] 發郵件
[56:40] 各種各樣的郵件的整理
[56:42] 什麼之類的全部都來
[56:46] 你這個東西變成是一種
[56:48] 郵件本來你要去
[56:50] 很多這些地方很多伺服器什麼之類的
[56:52] 就沒有了
[56:54] 接下來各種各樣的
[56:56] 什麼會計啊什麼之類的相關的伺服器
[56:58] 什麼之類的全部都會弄起來
[57:00] 為什麼
[57:02] 你知道嗎你以前你要去報帳幹嘛
[57:04] 之類的那不是真的
[57:06] 現在搞不好你後面
[57:08] 拍一張照
[57:10] 傳GmailAgent
[57:12] 才有辦法完成所有的文具
[57:16] 你說這件事情會多遠
[57:18] 我覺得沒有那麼遠
[57:20] 就是因為現在沒有人做
[57:22] 你可以看得到現在沒有人做
[57:24] 現在大家不覺得這件事情
[57:26] 因為這件事情會請個大公司
[57:28] 先做
[57:30] 大公司對著你就是微軟
[57:32] Google
[57:34] 因為什麼
[57:36] 你知道現在學校
[57:38] 公司都要付微軟的錢
[57:40] 付Google的錢
[57:42] 那這些相關的東西
[57:44] 像微軟
[57:46] 它之前是優先的
[57:48] 因為它跟
[57:50] ChannelGBD OpenAI合作
[57:52] 它覺得它
[57:54] 微軟股在大公司上漲那麼多
[57:56] 它最近為什麼不漲
[57:58] 因為就整個東西
[58:00] 現在它弄第一個
[58:02] 是它弄出來的Copilot不好用
[58:04] 對不對你現在
[58:06] Microsoft它想要賣錢
[58:08] 你的Word什麼之類的
[58:10] 它本來應該要
[58:12] 把CopilotAI弄得很好
[58:14] 沒有嘛
[58:16] 大家都看照片
[58:18] 那現在大家期待
[58:20] 現在可以入座
[58:22] 不過歡迎弄好
[58:24] 你現在很多東西
[58:26] 所有的東西
[58:28] 要報告什麼之類的
[58:30] 全部內
[58:32] 現在變成全部都AI
[58:34] 幫你產生什麼之類的
[58:36] 你想要報什麼
[58:38] 包括所有的
[58:40] 這東西變成是像Cloud
[58:42] 它轉換成某些package
[58:44] 然後送你錢
[58:46] 那你一定會付的嘛
[58:48] 那為什麼要付
[58:50] 就剛剛講的
[58:52] 人就砍掉了
[58:54] 那當然這東西
[58:56] 的變化我覺得有點大
[58:58] 這東西
[59:00] 我不知道到底會變成
[59:02] 可是我相信
[59:04] 這幾年
[59:06] 你都可以看到這些東西
[59:08] 持續的會發生
[59:10] 尤其是各行各業
[59:12] 如果做那些簡單動作的人
[59:14] 就不需要啊
[59:16] 對不對
[59:18] 像很多的一些行政
[59:20] 那到底還要幹嘛呢
[59:22] 我想問一下
[59:24] 因為我剛剛朋友提過
[59:26] 我們在該發行的
[59:28] 這完全是一樣
[59:30] 你剛剛跟我說
[59:32] 就是比如說
[59:34] CopilotAI
[59:36] 我現在就只在這
[59:38] 那為了它們引起
[59:40] 就是在Google它們引起
[59:42] 我可以跟你講
[59:44] 基本上7788
[59:46] 大概78%
[59:48] 你知道我現在
[59:50] 跟你講幾次
[59:52] 這些人
[59:54] 跟我的想法會很接近
[59:56] 我想到這些東西
[59:58] 他們
[01:00:00] 一定也在做了
[01:00:02] 那有沒有公司
[01:00:04] 在嘗試做這些事情
[01:00:06] 最近也有了
[01:00:08] 最近台灣
[01:00:10] 我覺得我必須要說台灣外面的
[01:00:12] 速度是很慢
[01:00:14] 台灣速度是很慢
[01:00:16] 台灣的這些東西很慢
[01:00:18] 台灣有local的優勢
[01:00:20] 這些公司都需要的
[01:00:22] 所以我說你這時候有很多創業的機會
[01:00:24] 這些公司裡面每一個都需要
[01:00:26] 像剛剛講的
[01:00:28] 不管是Buy Me Codex也好
[01:00:30] 這些東西每一個中小學生
[01:00:32] 都需要
[01:00:34] 但是我也不知道
[01:00:36] 你教育事業
[01:00:38] 又是另外一件事情
[01:00:40] 到底想要花多少時間力氣
[01:00:42] 那這個東西
[01:00:44] 可能變成線上課程是一個簡單的東西
[01:00:46] 但是你線上課程要賣
[01:00:48] 又是另外一件事情
[01:00:50] 我也不知道
[01:00:52] 你知道教事業
[01:00:54] 多時候我許久了
[01:00:56] 你要先切入
[01:00:58] 那些疲煩
[01:01:00] 然後你要把反擁什麼之類的
[01:01:02] 給出去
[01:01:04] 我本來不知道
[01:01:06] 但是我後來回憶
[01:01:08] 就是有一段時間
[01:01:10] 我之前還有在
[01:01:12] 跟之前的同事聊天
[01:01:14] 就覺得很落差
[01:01:16] 我本來以為他們很快follow上
[01:01:18] 結果沒有
[01:01:20] 我們前面的人在跟AI
[01:01:22] 追著AI讓走
[01:01:24] 結果他們還是在
[01:01:26] 繼續玩那個積木
[01:01:28] 就是兩種積木
[01:01:30] 要不然就是那個
[01:01:32] Scratch的積木
[01:01:34] 這個是一個
[01:01:36] 很大的執行落差
[01:01:38] 我也觀察到這個現象
[01:01:40] 那這些傳統產業
[01:01:42] 大家都覺得AI很糟糕
[01:01:44] 但是他們根本不懂
[01:01:46] 現在真的懂的也不多
[01:01:50] 所以
[01:01:52] 我覺得很有趣
[01:01:54] 反正這些東西大家可以看看
[01:01:56] 把我們看到的東西跟大家分析一下
[01:01:58] 然後我是希望大家
[01:02:00] 有一點收穫
[01:02:02] 有一點相關的東西
[01:02:04] 其實很多時候你能夠
[01:02:06] 各個地方講
[01:02:08] 你能夠去掌握
[01:02:10] 這些所謂的龍蝦也好
[01:02:12] 海馬斯也好這些A卷
[01:02:14] 然後你能夠實際的去判斷
[01:02:16] 比如說我講一個很簡單
[01:02:18] 你說簡報
[01:02:20] 我最近都一直在想
[01:02:22] 我要怎麼樣去解爆
[01:02:24] 這個相關的東西
[01:02:26] 現在簡報這件事情能夠用的
[01:02:28] 還是有點落差
[01:02:30] 對不對
[01:02:32] 當然毫無疑問
[01:02:34] No Book LM最近最好
[01:02:36] 但是No Book LM裡面還是有很多東西
[01:02:38] 必須要能夠
[01:02:42] 可是我們要想辦法做出來一個
[01:02:46] 很多人知道這件事情
[01:02:48] 例如說No Book LM
[01:02:50] 出來的女生
