# 逐字稿 2026-05-05
# 來源音檔：錄製 (5).m4a

[00:00] 前面的話先講說
[29:58] 二是什麼我要設定你的官方帳號
[30:00] 三你把需要列出來
[30:02] 預計在6月1號前
[30:04] 可以完整上線
[30:06] 然後我會給你所謂的使用說明
[30:10] 我們在換時間
[30:12] 你懂我意思
[30:14] 你5月幾號
[30:16] 要出門你再
[30:18] 一個訊息給我
[30:20] 你寫訊息給我
[30:22] 我以為要叫會計那邊去
[30:24] 那個薪資都是卡在算
[30:26] 我今天要發薪水我還沒有把那個弄完
[30:28] 應該講說
[30:30] 5月8號
[30:32] 因為我9號做6點的飛機
[30:34] 早上6點
[30:36] 那3點就要出門了
[30:38] 3點就要出門
[30:40] 所以我8號應該回去就
[30:42] 開始睡覺是要3點
[30:44] 謝謝
[30:48] 可能8號那天我再給你
[30:50] 你提早先給我
[30:52] 你們要出門的時間
[30:54] 以防範未來
[30:56] 把那個弄出來
[30:58] 8號到幾號每次出門
[31:00] 然後我們就盡量在不該返禮的時候
[31:02] 就不要返禮讓你好好玩
[31:04] 然後我們就把東西準備好
[31:08] 那我先
[31:10] 我到時候先把
[31:12] 先幫他開啟那個
[31:14] 那我現在知道
[31:16] 要先匯進去嗎
[31:18] 匯進去應該是沒有差
[31:20] 因為你什麼時候匯你都是可以補後面
[31:22] 那一段
[31:24] 依照這個時間段所有的
[31:26] 匯銀銷售單幫他把該算的給出
[31:28] 就像我剛才講的
[31:30] 不論什麼時間點我都可以補的
[31:32] 我會先把
[31:34] 要幹的事情
[31:36] 我現在還在匯資料
[31:38] 第二個有需要官方帳號的admin權
[31:40] 第三個我會寫一個影片
[31:42] 讓你去就是有一個說明書
[31:44] 讓你先確認跟你想的
[31:46] 部分有沒有差就是把圖什麼都抓一抓
[31:48] 那個這個部分
[31:50] 看你這邊能不能協助說
[31:52] 對關他這個不晚
[31:54] 因為5月8號離今天只剩三天
[31:58] 對
[32:00] 其他的部分大約會在
[32:02] 這裡回來之後
[32:04] 我們才對我們現在
[32:06] 還在做最後的測試
[32:08] 反正就是給一個理由這個要先弄好了
[32:10] 我們還會再做一周的
[32:12] 穩定性測試
[32:14] 對對對對yes
[32:16] 我這些弄好大約什麼時候
[32:18] 我可以開始了
[32:20] 裡面先收集一下有沒有什麼
[32:22] 實用上的困難
[32:24] 然後遇到什麼錯誤
[32:26] 你要先把那個那個所謂的
[32:28] 說明影片先弄出來
[32:30] 不論是影片或者你給他
[32:32] pop up或幾段文字都寫
[32:34] 我會把就是之前我的
[32:36] 那些操作影片都把它
[32:38] 弄成一個影片集
[32:40] 放在一個地固上面然後請他們
[32:42] 下去看一下
[32:44] 就是在這一段期你是8號到幾號
[32:46] 8到13
[32:48] 8到15
[32:50] 就是15到禮拜一嘛
[32:52] 就是你幫你給我到禮拜一
[32:54] 對對對
[32:56] 16號開始
[32:58] 原則上16號
[33:00] 就是你把那段期間避過
[33:02] 然後這一段期間你給我
[33:04] 你給我意見
[33:06] 我們在測試的時候
[33:08] 會順便把你意見一起測進去
[33:10] 但是這個禮拜可能就
[33:12] 先不動了反正之類的
[33:14] ok就先這樣
[33:16] 對對對
[33:18] 你看你那邊要我幫你做什麼
[33:20] 你可能要到時候可能需要就是
[33:22] 幫我錄一下
[33:24] 操作過程
[33:26] 然後我可能影片的話可能
[33:28] 禮拜三或四
[33:30] 可能要先去下訂那個
[33:32] 8號幾號
[33:34] 8號7號8號
[33:36] 這個真的刷不出來
[33:38] 連電腦螢幕上面都刷不出來
[33:40] 因為他接受的光太低
[33:42] 太低了
[33:44] 你要Momo現在
[33:46] 先開一支可以的雷射的
[33:48] Momo問哪個24小時到貨
[33:50] 你問他用那個
[33:52] 可不可以
[33:54] 你之前那支
[33:56] 8號機還是
[33:58] 他是紅外線
[34:00] 他沒辦法掃二維碼
[34:02] 你找可以刷二維碼的應該就沒事
[34:04] 可以刷二維碼
[34:06] 一維碼一定都可以
[34:08] 而且二維碼大部分都會顯示
[34:10] 在手機上
[34:12] 要刷也可以
[34:14] 沒有手機刷很容易
[34:16] 手機我都載在那邊
[34:18] 那時候做車是因為那時候我也刷不出來
[34:20] 我那時候還懷疑是不是我的
[34:22] 二維碼寫錯
[34:24] 所以我那時候我有做這個
[34:26] 但是刷出來是刷得出來
[34:30] 刷幾個
[34:32] 大廠牌一兩千塊可以
[34:34] 一兩千塊已經算便宜
[34:36] QR code可以刷的
[34:38] QR code可以刷的
[34:40] 我自己訂
[34:42] 你先看一下
[34:44] 不然你傳給我好了
[34:46] 我還有一些P點還沒用
[34:48] 我還有點P
[34:50] 你丟給我
[34:52] 我待會訂一訂之後明天拿過來
[35:00] 那我今天就先
[35:02] 去處理靈異他們的事情
[35:04] 我會先把這灰漆去
[35:06] 然後幫他們把一些基礎設定
[35:08] 就是這灰漆的基礎設定去生存
[35:12] 那我這邊錄音到這裡
[35:14] 我要來測試
