# 逐字稿 2026-04-30
# 來源音檔：錄製 (4).m4a

[00:00] 再來就是說,票券的地方只有銷售單位
[31:38] 可以
[31:40] 好沒問題
[31:42] 好我收到了謝謝
[31:44] 掰掰
[32:02] 阿水打掃
[32:04] 今天來
[32:06] 還是明天四點
[32:14] 喔對老闆
[32:16] 講到這個的話
[32:18] 那可能
[32:20] 就是他可能會需要
[32:22] 之後可能會請他前一個表達
[32:24] 因為你會需要他們的觀感帳號
[32:26] 然後
[32:28] 然後還要需要他們
[32:30] 要掛的網址
[32:32] 掛的網址
[32:34] 就是他
[32:36] Dominion
[32:38] 也會需要跟他要一個Dominion
[32:40] 但如果他說如果要
[32:42] 跟他們的官網一樣
[32:44] 那可能沒辦法
[32:50] 如果他們說他們的Dominion
[32:52] 跟他們現在的官網一樣
[32:54] 這可能沒辦法
[32:56] 因為他們那個網站不是我們在管
[32:58] 到時候來看
[33:00] 如果他有要求
[33:02] 掛網址
[33:04] 他應該是一個ForeignTick
[33:06] 點過去
[33:08] 不是ForeignTick 也就是一個Link
[33:10] 點過去
[33:12] 沒有我是說
[33:14] 因為你看我這邊
[33:16] 到時候可能會改善
[33:18] 因為他們對我們相當的好
[33:20] 但是靈異他們本來以前就有的官網
[33:22] 嗯
[33:24] 嗯
[33:26] 他們對我們本來就有
[33:28] 本來就有這個官網
[33:30] 那這個官網Dominion沒辦法用
[33:32] 因為是他們跟別人
[33:34] 你像我們的Dominion
[33:36] IP他可以指過來某個區塊
[33:38] 他可以指過來
[33:40] 但是是他們那邊的伺服器要做設定
[33:42] 不是我們這邊的伺服器沒辦法去設定他們
[33:44] 我知道
[33:46] 所以其實不是不能用
[33:48] 只是叫他們的官網師去做
[33:50] 對 只是說看他們能不能跟他們
[33:52] 工程師做一堆
[33:54] 他們連過去可能要轉過來
[33:56] 這個部分可能要再做一堆
[33:58] 我知道這個不能溝通
[34:00] 因為他我相信
[34:02] 我相信是可以做得到的
[34:04] 只是他們工程師願不願意把我們轉進去我知道
[34:06] 因為他們工程師沒辦法做到像我們這麼全面
[34:08] 他總有一天被取代掉
[34:10] 嗯
[34:12] 不是我現在是找別的網
[34:14] 外面的網站公司進來做
[34:16] 進來做什麼東西
[34:18] 我說外面的
[34:20] Post連結嗎
[34:22] 我是說他們這網站是找外面的廠商做的
[34:24] 當然啊
[34:26] 我不確定到時候那個廠商能不能跟我們進這種工程
[34:28] 沒關係我們應該是這樣子
[34:30] 如果你需要用你的DOMAIN
[34:32] 我們需要你們負責商幫我們指定到某一個IP
[34:34] 然後我們這個IP
[34:36] 看什麼
[34:38] 他應該有辦法判斷哪個DOMAIN進來
[34:40] 去到哪一個地方
[34:42] 應該是有辦法
[34:44] 會去到哪一個地方
[34:46] 你說讓他
[34:48] 打到那邊嗎
[34:50] 如果今天只是一個網址的話
[34:52] 那也很簡單
[34:54] 那我們把我們的
[34:56] 我們也弄我們自己的DOMAIN
[34:58] 我們自己有DOMAIN
[35:00] 我們弄個新的網頁
[35:02] 然後叫他
[35:04] 直接Retarge到這邊也應該不難
[35:06] 但是可以不要顯示這個名字
[35:08] Retarge過來的話
[35:10] 如果是Retarge的話
[35:12] 他到這個畫面就會顯示顯示
[35:14] 然後我們就直接
[35:16] 把這個DOMAIN
[35:18] 他到這個畫面就會顯示
[35:20] 顯示我們的網址
[35:22] 就不會顯示外面的網址
[35:24] 等於說他做這一步
[35:26] 等於說他那邊只會做個轉移
[35:28] 等於說我們要用他們
[35:30] 那邊的DOMAIN我們還要跟他們
[35:32] 拿到你問一下我覺得不是
[35:34] 沒關係啦我應該是這樣講
[35:36] 你如果要用你那邊申請
[35:38] 我們也接受我提出
[35:40] 這個需求人家不願意做的話
[35:42] 那是我的問題
[35:44] 那就好啦他不會跟我們
[35:46] 那這樣子好啦
[35:48] 要嘛你就額外申請一個新的
[35:50] 不然就是我
[35:52] 如果他們要的話我們可以先
[35:54] 生成一個DOMAIN給他們
[35:56] 就是從Retarge到那邊做一個DOMAIN給他們
[35:58] 做一個DOMAIN
[36:00] 等於說他們那個
[36:02] SX
[36:04] 他們這個SX我們也好管理
[36:06] 就是說他們可以自動去虛位讓
[36:08] 我們就那個比較好管理
[36:10] 反正還是這樣子
[36:12] 需要就跟他們的工程師講
[36:14] 那DOMAIN做的情況跟我們沒關係
[36:16] 但是我提供你解決方案
[36:18] 那我們是不是就沒責任了
[36:20] 你不行的我都幫你處理好了
[36:22] 他對我們沒有怨言
[36:24] 過來先這樣
[36:26] 我先幫他們申請我這邊
[36:28] 無所謂啊
[36:30] 我開那個是不用錢的
[36:32] 那邊就藏在裡面
[36:34] OK啊OK啊
[36:36] 那我們這邊就先開一個
[36:38] 如果他們有意見到時候再過去談
[36:40] 可以可以
[36:42] 好
[36:44] 到時候專案的部分
[36:46] 會再做一個就是
[36:48] 適合使用點數的一個
[36:50] 在專案裡面
[36:52] 然後他如果夠合適用的話
[36:54] 那就是這個造算
[36:56] 然後這邊有這個
[36:58] 但是他們那個
[37:00] 就是保險類的我再跟他們講說
[37:02] 能不能先使用商品
[37:04] 的點數先進行計算就好
[37:06] 就不再待專案
[37:08] 應該是這樣你的POSE打法
[37:10] 我們就秀給他看
[37:12] 可是不對這樣如果點數
[37:14] 如果有不理職去控制的話
[37:16] 其實他們那邊的做法裡面
[37:18] 就只要專案那邊
[37:20] 不理職勾個幾點就好
[37:22] 也可以
[37:24] 那這不會其實我們就直接做一個
[37:26] 這個是通用法程
[37:28] 這沒有問題啊
[37:30] 到時候可能就第一天他們
[37:32] 用的時候他們會先把資料給我們
[37:34] 然後我看完之後
[37:36] 我最好是在測試庫
[37:38] 我會先幫他把這個東西試試看
[37:40] 我會先在測試庫
[37:42] 然後說他們把資料
[37:44] 匯進來的時候我會先去看一下他們
[37:46] 資料有沒有什麼問題
[37:48] 那再來就是第一次你再做這種
[37:50] 開一個新的模板你最好是把它記錄下來
[37:52] 你才開第二個的時候
[37:54] 才不會這麼累
[37:56] 我那時候剛開始做的時候
[37:58] 就沒有想到模板這件事
[38:00] 我沒想到會大賣啊
[38:02] 模板什麼樣的
[38:04] 空的資料殼給你啊
[38:06] 我開一個資料庫然後把模板建起來
[38:08] 然後我以前都是一個一個
[38:10] 這樣用
[38:12] 不用到第三個第四個的時候我就想說
[38:14] 現在他們資料庫底層的
[38:16] 貴的等級就停了
[38:18] 我的意思就是說
[38:20] 你看
[38:22] 能不能人家說要開你
[38:24] 擋兩下啊他付完錢好像就有
[38:32] 跟馬斯克的那個
[38:34] 車子一樣嗎
[38:36] 像是會員等級
[38:38] 所有的都已經開好了
[38:40] 然後那個點數
[38:42] 的規則
[38:44] 點數定案規則
[38:48] 點數規則
[38:50] 點數規則應該所有的
[38:52] 沒關係啦你弄啦
[38:54] 還有什麼要決定的
[38:56] 還有什麼要討論
[38:58] 跟決議的沒有最
[39:00] 下一個
[39:02] 所以這個畫面
[39:04] 大部分都沒有在這邊
[39:06] 沒有問題看到是亮
[39:08] 眼睛是亮
[39:10] 畫面做的是真的嗎好看
[39:12] 對啊會眼睛會亮啊
[39:14] 那就代表他有興趣啊
[39:16] 然後是好那邊的這部分的話
[39:18] 可能要先麻煩你做
[39:20] 幾件事情就是
[39:22] 因為那時候他們是說
[39:24] 把它改成四個選單
[39:26] 四個選單就是
[39:28] 一二三四這兩個
[39:30] 其實在這裡面都看得到
[39:32] 什麼意思
[39:34] 這是這兩個
[39:36] 我的點數我的優惠
[39:38] 在會員資料裡面
[39:40] 都是可以看得到的
[39:42] 但是我會想請你做一件事情就是說
[39:44] 能不能在這個模板上面
[39:46] 就是在我的優惠
[39:48] 這裡掛的是這個網子
[39:52] 掛的是我的靠近這個網子
[39:54] 他好像會給我
[39:56] 先六個
[39:58] 你說要前面六個選單嗎
[40:00] 四個選單
[40:02] 只要四個選單
[40:04] 我靈異他們是做四個
[40:06] 我們出去外面demo我們可以
[40:08] 我是覺得六個比較好看
[40:10] 其實功能是
[40:12] 一樣的
[40:14] 你現在是
[40:16] 有點像是
[40:18] 內容不足硬塞塗上去
[40:20] 但是我的傾向是
[40:22] 內容多
[40:24] 到你可以選
[40:26] 因為雨昕他們的擺面不一樣
[40:28] 因為雨昕他們的
[40:30] 絕對會是六個
[40:32] 他們還要再多一個維修彈的進度
[40:34] 可以啦
[40:36] 我的意思是說現在是
[40:38] 有點像打腫臉充胖子
[40:40] 這個形容好像不太好
[40:42] 內容很
[40:44] 擺這六個是我們好做
[40:46] 沒關係啦我說現在是沒什麼選項
[40:48] 但未來我希望是有很多
[40:50] 你想要哪一個你可以決定
[40:52] 我要哪幾個
[40:54] 靈異他們後面一定會變成六個
[40:56] 因為到時候我的票
[40:58] 就跟
[41:00] 因為他們要做維修彈
[41:02] 他們有一個越南
[41:04] 到時候這個要變成
[41:06] 我有答應他這六萬塊是包含那個
[41:08] 預約系統
[41:10] 在八月這個是包含進去
[41:12] 我這邊再數
[41:14] 因為預約系統的
[41:16] 前段畫面我也是先打上去
[41:18] 很快
[41:20] 其實他們
[41:22] 他們要的東西我都會先打好反
[41:24] 你可以先對立好
[41:26] 把東西都測試好
[41:28] 等他說要的時候我就給你
[41:30] 先段畫面我先打反出來
[41:32] 預約單就沒有了
[41:34] 預約單他會員進去我就知道你是誰啦
[41:36] 對這部分他會自動填
[41:38] 你現在那個跳轉
[41:40] 好像也講了兩個禮拜了
[41:42] 我說前面的那個
[41:44] 那個是
[41:46] 因為這個
[41:48] 前面的畫面是示好做的
[41:50] 我可能要等示好做
[41:52] 因為這個畫面是示好做的
[41:54] 你現在loading把東西弄進去到這個
[41:56] 大概要兩秒
[41:58] 能再快一點
[42:00] 可以啊
[42:02] 我今天先把
[42:04] 處理好這個
[42:06] 我是覺得可以慢一點
[42:08] 中間卡一個窄路鐘之類的
[42:10] 你可以窄路鐘
[42:12] 效能的調校永遠是最後才去考量
[42:14] 除非他不會動
[42:16] 但是我個人覺得他進去就咻就要出來
[42:20] 你可以在loco端寫一些
[42:22] 他的id認證
[42:24] 資料其實你認證他的id
[42:26] 到回來一個網頁
[42:28] 你如果有catch應該連一秒
[42:30] 是
[42:32] 是這樣
[42:34] 因為
[42:36] 因為其實我從這邊取
[42:38] 從那邊取資料他其實
[42:40] 也是快的沒關係沒關係都可以
[42:42] 還有其他要覺得嗎
[42:44] 應該
[42:46] 現在啊
[42:48] 因為有一些東西啊都趕不去
[42:50] 也不用確認啦
[42:52] 那個保險類的那個也不用確認到時候勾一勾
[42:54] 然後第一批資料進來
[42:56] 幫他們設定就好
[42:58] 你可能要處理的先列表
[43:00] 他今天一個
[43:02] 款項匯來就可以
[43:04] 擋擋開了問問題
[43:06] 然後他把資料弄來
[43:08] 你說你這招就要開給他嗎
[43:12] 我沒答應他
[43:14] 我跟他說
[43:16] 他說款項匯來我就幫你開
[43:20] 下週
[43:22] 不是因為接下來是三天
[43:24] 連假
[43:26] 我都不講啊
[43:28] 中間會有
[43:30] 中間會有
[43:32] 一段時間我們公車司機都不在
[43:34] 所以他遇到問題就沒有人讓問
[43:36] 我是覺得
[43:38] 要開他們有禮拜五會考
[43:40] 我們下週也幫我們開
[43:42] 這都好講
[43:44] 我看你這個新的帳單
[43:46] 丟了
[43:48] 反正好講
[43:50] 我六月一號才收錢
[43:52] 什麼都好講
[43:58] FlexMessage有辦法轉給人家
[44:00] 等一下
[44:02] 這個FlexMessage
[44:04] 我沒有辦法手動打Message
[44:06] 我要讓那個
[44:08] 人家自己傳
[44:10] 這樣子的話就不會是
[44:12] 丟在群組這邊
[44:14] 可能是用看哪一個
[44:16] 哪一個OA傳
[44:18] 用Archon的那個
[44:20] 小幫手的那個傳
[44:22] 傳
[44:24] 所以
[44:26] 如果不好
[44:28] 我先講
[44:30] 我認為就是
[44:32] 錢到位就要
[44:34] 開始上工了
[44:36] 之前都是在出店的
[44:38] 現在是業務會去
[44:40] 跑去談
[44:42] 我現在今天
[44:44] 就會把那個
[44:46] 核銷做完
[44:48] 基本上他們要用
[44:50] 就是一直拉線的那個Pin
[44:52] 所以我講說
[44:54] 我雖然跟他講說你點數來
[44:56] 我就開給他設定那個
[44:58] 但是我會先Ready好
[45:00] 在測試庫什麼都幫他開好
[45:02] 然後Ready就直接
[45:04] 因為他們那邊
[45:06] 這邊只要換你還沒設定
[45:08] 對我怕的就是你只要在測的時候
[45:10] 遇到一個問題
[45:12] 因為你的第一個版本出去
[45:14] 通常都會遇到一個問題
[45:16] 然後再加上
[45:18] 他們怎麼講
[45:20] 好好成交時間才趕快
[45:22] 我剛好他們做完的
[45:24] 下一週我就要出店
[45:26] 那一週我在
[45:28] 這個這點會是比較難幹
[45:30] 還好反正我們6月1號
[45:32] 才收錢
[45:34] 我會說那個
[45:36] 負責這一塊的功能是出國度假
[45:38] OK
[45:40] 都好講我還沒跟你
[45:42] 收費錢都好講
[45:44] 你跟著要收的錢就不能說
[45:46] 我這個沒有Ready是不是
[45:48] 你還沒收錢之前都好講
[45:50] 沒關係因為
[45:52] 6月1號絕對可以完整上線
[45:54] 完整上線
[45:56] 甚至那時候可能零月但不做完
[45:58] 沒關係你就先把這個
[46:00] 反正都先弄好啦
[46:02] 我們就準備好等人家來
[46:04] 人家錢到了當會我們就要準備好
[46:06] 然後我們也要在
[46:08] 過程中把那個具體弄起來
[46:10] 做成下一個模板
[46:12] 還有就是
[46:14] 市長這部分可能
[46:16] 你這邊點一檔
[46:18] 下一間就是要跑語行
[46:20] 你要把這零一通訊號改進行
[46:22] 然後你盡量就是
[46:24] 前面你在跑這個
[46:26] 行號
[46:28] 去讀這要酷他們的
[46:30] 分店的那個公司資料
[46:32] 欄位
[46:34] 根據他們資料庫的這個公司
[46:36] 欄位去企劃
[46:38] 你這個會比較舒服一點
[46:40] 我今天要跑哪一個客戶
[46:42] 我其實應該是先準備好
[46:44] 我給他看到就是
[46:46] 基本上就是一個完全for you的東西
[46:48] 我雖然都是在
[46:50] 叫智慧門市
[46:52] 我給你的時候就是一個
[46:54] 你的會員你的資料
[46:56] 都是照你的
[46:58] 就是像今天我
[47:00] 晚上開關我會說你那個
[47:02] 物業來報的時候
[47:04] 應該是針對我們社區有什麼特點
[47:06] 要幾個
[47:08] 要幾個所謂的
[47:10] 保全要怎麼巡邏
[47:12] 要哪些保全需要什麼能力
[47:14] 都要報給我們你要為我們社區
[47:16] 量身訂做一套解決方案
[47:18] 這才是對的你現在
[47:20] 他們現在的保全都是來就是
[47:22] 一張標單幾個人多少錢
[47:24] 我是不選這樣
[47:26] 我是說你去就是一個量身訂做
[47:28] 為你量身訂做了一套產品
[47:30] 你看到你
[47:32] 這個只要付錢就馬上用了
[47:34] 感覺會很好
[47:36] 沒關係還有沒有什麼要決定
[47:38] 目前來講
[47:40] 有一些東西
[47:42] 是我們這邊
[47:44] 我今天主要是來確定
[47:46] 老闆這邊討論的後續他們的需求
[47:48] 以及會遇到的問題
[47:50] 目前來講可能遇到的問題
[47:52] 已經有幾個了
[47:54] 所以在這件事情上
[47:56] 我們來講
[47:58] 有時候是要先把這個
[48:00] 做好之後就等雨心
[48:02] 他下次去報約
[48:04] 是一個
[48:06] 維修單的進度是可報的
[48:08] 然後再就是他有可能
[48:10] 手機正在修他可能需要
[48:12] 一個額外的LINE
[48:14] 額外的LINE
[48:16] 可是他可能有一個第三方的LINE
[48:18] 重點是
[48:20] 雨心那邊維修單難做的地方
[48:22] 你要一邊修還要一邊去弄
[48:24] 你的系統才能安裝
[48:26] 是這樣子沒錯
[48:28] 所以我才說未來都用講
[48:30] 沒關係啦我那時候有跟大家這樣講
[48:32] 他說是不是需要另外弄在
[48:34] 一個平板上一套維修系統
[48:36] 我是跟他說No
[48:38] 但是我心裡就是蠻認同的
[48:40] 一開始要有這個東西不然我們怎麼樣去
[48:42] 他維修師等於說還要再跑到電腦
[48:44] 去按收他現在是
[48:46] 什麼腫帶
[48:48] 讓人家覺得多死一局
[48:50] 對維修師
[48:52] 對維修師來講可能會增加他們的
[48:54] 工作負擔
[48:56] 最後就變成他就是修完了
[48:58] 然後再去按一次
[49:00] 來這是選料
[49:02] 要先點字
[49:04] 維修選料
[49:06] 就是維修問題判斷
[49:08] 判斷完再進到下一步先維修做一件
[49:10] 然後又遇到什麼問題
[49:12] 我的概念裡面
[49:14] 維修師修一修
[49:16] 只要點上面的平板
[49:18] 就好了
[49:20] 平板是可點電腦是不能點
[49:22] 除非你是觸控螢幕
[49:24] 不然他不能點
[49:26] 維修師他
[49:28] 到底說他是進到什麼進度
[49:30] 要讓額外再去做
[49:32] 我覺得這樣會比較好
[49:34] 但是我是跟他說No
[49:36] 你是不是還是要key位置
[49:38] 對但是對維修師來講不方便
[49:40] 可以底下收件
[49:42] 他通常是底下收件
[49:44] 之後給上面維修師修
[49:46] 上面維修師修的時候是不是能夠
[49:48] 這樣子點
[49:50] 不然就是要跟維修師
[49:52] 因為他們維修師上面會有個
[49:54] 員工編號
[49:56] 你就要去寫字說你這個員工編號下面
[49:58] 有幾個
[50:00] 是負責他幾張維修單
[50:02] 維修單的維修進度是誰
[50:04] 說他額外一個點不去
[50:06] 做什麼
[50:08] 我覺得他的提議我覺得是對
[50:10] 你上面一個平板你不論用什麼方式連結他POST
[50:12] 你要一個網頁連過去應該也不難
[50:14] 對做個網頁給他不難
[50:16] 感覺變成說對於
[50:18] 工程師來說如果單純就是叫我去
[50:20] 點點點這個如果是我
[50:22] 修我還要再去搞那個我就很
[50:24] 不爽
[50:26] 底下收件把課程字都填好
[50:28] 之後你上來就是
[50:30] 還修什麼
[50:32] 他會變成一個這種
[50:34] 模式變成說
[50:36] 他要做好
[50:38] 這件事情要跟工程師的地方
[50:40] 變成說我好好點這個
[50:42] 變成是我的企錄我的工作企錄
[50:44] 我的KPI之類的
[50:46] 沒有啦他維修的人員本來就會
[50:48] 綁定你的維修
[50:50] 維修了哪些你毛病做什麼
[50:52] 本來就有綁定
[50:54] 可是他可能說就是他要去
[50:56] 勾選這個範距離
[50:58] 這邊可能會有一個狀態
[51:00] 網頁的部分其實跟
[51:02] 你叫他照抄
[51:04] 我們的維修系統
[51:06] 就是只針對
[51:08] 工程師會用到因為工程師他不會填
[51:10] 他只會說這個修到哪裡用了什麼
[51:12] 就是這邊寫是這個
[51:14] Ig修法
[51:16] 會員的名稱
[51:18] 修的型號之類的
[51:20] 有點像我們叫車系統
[51:22] 這裡有一個要維修
[51:24] 這邊應該會
[51:26] 寫說他這個維修的手機型號
[51:28] 然後這個
[51:30] 修到什麼程度這邊不要
[51:32] 太複雜就是一個
[51:34] 裡旁的boss之類的點一下
[51:36] 這個可以做完
[51:38] 下次我做一支demo的時候我就跟他講說
[51:40] 維修師我另外弄一個
[51:42] iPad的
[51:44] iPad的版本那裡
[51:46] 他只要有手機
[51:48] 就等於說他算是一個
[51:50] iPad手機 anyway反正就是
[51:52] 一個他可以掛一個
[51:54] 在那邊
[51:56] 修修修等一下
[51:58] 要的話也可以看片
[52:02] 可以
[52:04] 最主要是他們的那個
[52:06] 維修的進度那個我還在想
[52:08] 那個到底要怎麼做
[52:10] 那做起來不是
[52:12] 後來你上次提的那些
[52:14] 他的幾個狀態基本上完全命中
[52:16] 幾乎是不明
[52:18] 就是那幾個狀態
[52:20] 現在你只是
[52:22] 我下次去demo的時候我把這個
[52:24] iPad帶著
[52:26] 你現在只要掛一個這個東西
[52:28] 那這個東西包含在你的
[52:30] 進階行銷裡面我們要折價
[52:32] 就照那個原始價
[52:34] 這樣子我弄一個我這個送
[52:36] 維修系統
[52:38] 這個維修就是其實
[52:40] 我這個你如果願意
[52:42] 你如果願意把這個錢繳了我這個
[52:44] 我就送你讓你維修師
[52:46] 點兩下看你要幾台
[52:48] 這個是這個算是
[52:50] 可以坐在就是坐在
[52:52] Keyboard版本裡面
[52:54] 給你一個維修的版本
[52:56] 然後我可以這一台
[52:58] 就送你但是他可能有一個
[53:00] 什麼手機手機
[53:02] 就有一個什麼行動公司有個250塊
[53:04] 的內容
[53:06] 那這部分可能還要再討論就是說
[53:08] 他們會他們的員工可能也要
[53:10] 放Line
[53:12] 等於說他們這邊登入的話
[53:14] 就是從
[53:16] 看說他是不是這個Line
[53:18] 這個老闆既然會提這個就代表這是他們工程師
[53:20] 不想做我們工程師也不想
[53:22] 不想幹那些事情
[53:24] 那你弄一個解決他的重點
[53:26] 一個月250塊他就好好
[53:28] 想一下要不要
[53:30] 然後你這個願意繳我就送你一年
[53:32] 你可以嗎
[53:34] 然後一年之後我就收這個錢
[53:36] 重點是讓人家一開始先進去
[53:38] 先進去你用你用了習慣了
[53:40] 你這四個四個維修師都在
[53:42] 用了你跟他說我這一個月250塊
[53:44] 不繳
[53:46] 你可以回去用電腦
[53:48] 你問一下老闆
[53:50] 老闆會為了省這個嗎
[53:52] 不會啊叫飲料也超過一千塊
[53:54] 對吧所以所以我覺得
[53:56] 我的策略在行銷策略上面
[53:58] 我就說你如果這個願意繳
[54:00] 這一張單你以幸你好幾間店
[54:02] 我這個就送你
[54:04] 看你要幾台四台是不是
[54:06] 我送你一年之後每一個月
[54:08] 250塊我先跟你講
[54:10] 我就做
[54:12] 讓他先流口水
[54:14] 他送一年
[54:16] 這個好像蠻好用的先讓他
[54:18] 屌住再收屌住之後你
[54:20] 明年收一千塊他就只
[54:22] 摸摸嘴巴我現在不想給
[54:24] 工程師打臉我還是付這一千塊
[54:26] 對啊
[54:28] 這樣這樣比較好啦
[54:30] 好
[54:32] 學長我這邊那個
[54:34] GTB的那個程序
[54:36] 因為現在又加了很多
[54:38] 新的那個分子
[54:40] 信心不足然後
[54:42] 要怎麼樣提問所以我要讓他
[54:44] 整個系統放起來
[54:46] 就是我問到就是
[54:48] 有些額外狀況特殊狀況
[54:50] 問到一半我不想問了問了新的
[54:52] 問題之類的他也都要可以
[54:54] 在這個循環裡面
[54:56] 開一個新的
[54:58] 大老闆開個新的對話
[55:00] 就是結束結束
[55:02] 結束這一回合
[55:04] 我是在想說他需要有另外
[55:06] 那種Wave Phone的機制
[55:08] 就是說如果
[55:10] 我傳的是一個框框然後
[55:12] 他說Yes或No
[55:14] 然後他可以知道說我現在就是要整個
[55:16] 砍掉現在的結束
[55:18] 結束此回合
[55:20] 結束這一回合
[55:22] 還是需要一個就是
[55:24] 等於是直接跑程序
[55:26] 讓他直接砍掉的Wave Phone
[55:28] 一開始你要結束此回合多一個Yes或No
[55:30] 我沒理解因為一開始是我才用
[55:32] 那後面他其實
[55:34] 應該是有
[55:36] 辦法判斷
[55:38] 因為就我那時候有提到說當年一個Error Message
[55:40] 配上你的一段話他是有辦法判斷
[55:42] 這個是要執行的指定
[55:44] 這個是Error Message
[55:46] 我現在就是把那個小助手
[55:48] 這邊的整個用法
[55:50] 循循的話把它測試好了
[55:52] 可以啊那這幾天他一直
[55:54] 出現了什麼罩子
[55:56] 我問他點數都一直會
[55:58] 會鬼打牆那個我貼給你
[56:00] 好
[56:02] 如果這個點數進來的話會不會對
[56:04] 嗜好那邊做干擾判斷
[56:06] 這什麼點數
[56:08] 會有點數那些就是我現在進階
[56:10] 其他系統會不會對嗜好那邊
[56:12] 有做干擾判斷
[56:14] 那以後你就明確
[56:16] 你如果點數的時候
[56:18] 如果北半很明確的時候請問你講的是
[56:20] 分店月租點數
[56:22] 還是會員的什麼點數
[56:24] 你就是明晨講清楚
[56:26] 對啊對啊還是你講的是簡訊
[56:28] 點數
[56:30] 不過這個點數是那個End user那邊的
[56:32] 點數不是嗎那個不會啊
[56:34] 因為這個小微這邊
[56:36] 他是他是這是我們
[56:38] 這邊看客我們的客戶的點數
[56:40] 不是End user的
[56:42] 點數
[56:44] 我們這邊點數有很多
[56:46] 有很多點數啊剛才我講簡訊點數月租點數
[56:48] 然後那個會員點數什麼點數
[56:50] 大概就三四種
[56:52] 那當我講某個客戶
[56:54] 要加幾點的時候他通常
[56:56] 指的是月租點數
[56:58] 那就是看他去
[57:00] 判斷然後他自己會有
[57:02] Confidence從以前的
[57:04] 紀錄力這個Confidence會員
[57:06] 加點這一件事情就是會
[57:08] 是這個反正這個我覺得
[57:10] 不難
[57:12] 對老闆就是我把
[57:14] 2025年的
[57:16] Backup之後都清掉了
[57:18] 啊2025
[57:20] 早就該清了就是12月
[57:22] 12月
[57:24] 禮拜二
[57:26] 我清了11月
[57:28] 然後我想說出貨前我再清到
[57:30] 12月那留兩TP的空間
[57:34] 清
[57:36] 在Idlework裡面加一個
[57:38] 凌晨三四點的時候
[57:40] 清到時候前面凌晨
[57:42] 三四點然後你的
[57:44] 容量低於什麼
[57:46] 然後你的月份
[57:48] 高於六個月之前KK掉
[57:50] 沒有其實這基本上
[57:52] 我們的
[57:54] 我們的那個時間抓不到
[57:56] 這個月這都抓三個月
[57:58] 這都抓四個月
[58:00] 就滿了四個月就滿了
[58:02] 四個月三到
[58:04] 四個月就那你就抓四個月就照我
[58:06] 剛剛的邏輯就是你晚上三點
[58:08] 的時候去Clean
[58:10] 就是四個月以前
[58:12] 然後當我的容量
[58:14] 低於多少的時候
[58:16] 你自己去想那個機制啊
[58:18] 容量低於多少你可能要多砍個月
[58:22] 然後我那邊再去寫一個自動
[58:24] 轉換費給就是自動轉換
[58:26] 我那邊有一個月
[58:28] 抓跟老闆確定說你那邊到底轉換了
[58:30] 轉換到什麼時間
[58:32] 好像什麼轉換到
[58:34] 因為我那個
[58:36] 救費份其實都有都有留著
[58:38] 那個什麼時候轉都可以好像
[58:40] 我也不知道我要去看一下
[58:42] 我也去寫一次每次再用
[58:44] 簽認一下如果這邊可能要
[58:46] 跟你那邊對寫
[58:48] 資料我一定都有
[58:50] 那所以我這邊就直接刪
[58:52] 對你那邊直接刪
[58:54] 還有嗎
[58:56] 沒有
[58:58] 最重要的事情都要寫
[59:00] 因為你每次刪這個除非你是拿來當樂趣
[59:02] 你就是叫他自己做就好
[59:04] 我昨天才把那個論文那邊
[59:06] 那個實驗角做完
[59:08] 然後下禮拜還要再跟
[59:10] 老師開會然後再一個月
[59:12] 再一個月之後就考試然後
[59:14] 論文完成
[59:16] 很好恭喜你拿到一個學位
[59:18] 雙措式
[59:20] 對啊對啊然後兩年拿一個學位
[59:22] 三年拿一個學位是非常值得的事情
[59:24] 好死我了
[59:26] 下一個
[59:28] 每一個都不好不好幹沒見識
[59:30] 其實你這樣做這個軟體
[59:32] 也是一樣
[59:34] 他們保險是何謂要集
[59:36] 何謂弄來講
[59:40] 保險你看一下那個規則它保險有點
[59:42] 對啊
[59:44] 那我就在那邊規則出來
[59:46] 對啊
[59:48] 那能不能給他一張銷貨單
[59:50] 之後我在想因為每一家
[59:52] 他在邏輯上會不太
[59:54] 一樣是不是他的邏輯層
[59:56] 要拉出來
[59:58] 沒有他邏輯層就拉出來
[01:00:00] 就是我如果有新的客戶他
[01:00:02] 有一些是共用的就共用
[01:00:04] 不共用他就是邏輯層拉出來
[01:00:06] 那我們邏輯層要在哪裡去
[01:00:08] 修改因為每個人都不太一樣
[01:00:10] 對啊然後是不是能夠
[01:00:12] 他的邏輯層是不是能夠讓
[01:00:14] 確註一例可以去
[01:00:16] 去調動啊
[01:00:18] 會員點出規則
[01:00:20] 他這邊就是去
[01:00:22] 去制定他的制定規則
[01:00:24] 每個人的上次講都不一樣
[01:00:26] 每個人都不一樣
[01:00:28] 他可以每個人的新增方式都不一樣
[01:00:30] 但是現在來講會有
[01:00:32] 最基礎的這八點
[01:00:38] 就是Focus的一點
[01:00:40] 去扣點規則
[01:00:42] 就是所有新增跟扣點
[01:00:44] 都是會去循這個規則
[01:00:46] 再去進行進行
[01:00:48] 好我想說他會不會
[01:00:50] 有一些會員的條件
[01:00:52] 例如說會員他的
[01:00:54] 行動電話就是
[01:00:56] 代表票要等於0但是會有一些
[01:00:58] 可以啊
[01:01:00] 對啊就是
[01:01:02] 我會覺得是
[01:01:04] 你可以把一些規則他可能
