# 逐字稿 2026-04-27
# 來源音檔：錄製 (3).m4a

[00:00] 那個歐卡點開來之後,它有一堆的折價券,你點了之後它可以按一個消炸的部分,把它消掉
[31:49] 每個月的1號去改
[31:51] 每個月1號自動往後延一個月
[31:53] 所以每個人
[31:55] 每個人都是到這個月的最後一天
[31:57] 但是為什麼他們這樣會跳
[31:59] 他們這樣不應該會跳
[32:01] 你要看那個code為什麼他會跳
[32:03] 他不應該會跳啊
[32:05] 他有點
[32:07] 使用鏈加速成全用也沒有
[32:09] 反正就是很奇怪啊
[32:19] 你有時候他看的是
[32:21] 他跟別人不一樣
[32:23] 看到一個名字你就猜說
[32:25] 我可能是他
[32:27] 但是別人也都是一樣
[32:55] google
[32:57] directly
[32:59] google
[33:01] google
[33:03] Google
[33:05] google
[33:07] google
[33:09] google
[33:11] google
[33:13] google
[33:15] 你
[33:17] 我
[33:19] 我
[33:21] 我
[33:23] 噗尿嚏
[33:42] καwhich
[33:44] 我會不斷的去看他會不會跳他會顯示那個梗
[33:56] 叫他去看控為什麼他會之前因為我這邊之前去手動讓他去那個叫什麼開他的倒數然後設定那個時間
[34:06] 是在四月之後
[34:08] 一月之後所以他自動往後跳時間的這個機制他沒有動到義風
[34:13] 避開他你避開他對所以他沒有但是還是那樣子你對你避開他所以他現在是到三月底嗎
[34:20] 沒有他現在是12那個去年12月他的時間他時間到去年12月對
[34:26] 所以就是就是因為我改動他的時間是已經4月之後
[34:30] 所以他沒有自動更新到這個線上付款體用
[34:35] 所以他現在他的OK他的做法是這樣你到12月底對不對
[34:41] 然後算你現在有幾個點12個點然後他會去除以你有幾個月對你有幾千電在用三間電在用
[34:47] 那就是四個月對那就應該是應該是到七月
[34:52] 沒有你到12月底對不對沒有我這三件電在用去年的12月去年12月底啊你有三間在用
[34:59] 所以要的是把那兩間關掉他如果看一下都沒有那個銷售沒有那個紀錄就關掉吧
[35:08] 關掉就好了
[35:15] 所以才會說前幾天沒事也不一定你看一下是不是我講的原因到12月底然後三間再用
[35:23] 然後三間再用事實上他可能有兩間是沒在用事實上只有一間電在用
[35:29] 那如果你要先確認我還是這樣講你要關人家電之前你要先確認他完全沒銷貨完全沒經費完全什麼動作都沒有
[35:39] 你才去把他關掉因為這代表他沒有用到你莫名其妙把他關掉
[35:45] 那那那那也會人家有抗議嗎雖然他沒付錢
[35:49] 我有問那有沒有那種就是老闆跑了員工還在繼續上班
[35:54] 怎麼會有這種有啊那家不就是嗎家裡那間啊
[36:00] 那他們這樣子銷售分不是他老闆
[36:03] 這等於說是員工出來出來電錢的老闆跑了那很簡單嘛老闆跑了我如果老闆買到8月
[36:11] 他7月跑那請問他買到8月我8月要不要給他要因為他已經付錢了
[36:17] 然後8月付給他然後我再來我就說有要說要負責嗎不然月底到期了
[36:22] 有人要說要負責嗎以後就對你看有沒有人就是來出來頂的
[36:27] 如果一間店他是賺錢的就會有人想要出來做這件事
[36:31] 如果這一間店是虧錢那不好意思月底就大家一起拜拜
[36:35] 所以那時候老闆就在跑他們那邊去跟他們了解說之後的負責人是誰
[36:41] 不用啊我就線上問說我就打電話到管理局因為他應該還會持續性的銷售
[36:48] 你打去門市他都是門市嘛所以那個那個電話很好查
[36:53] 如果查到問他有沒有要接沒人要接你們的Post到這個月月底結束
[37:00] 他就資料也不保留有沒有人要接就會有人說我看一看還是划算
[37:08] 他怎麼錢老闆跑路了隨便他自己在賬問你對你跟店老闆的賬物我不管
[37:16] 分店長就只要有人付錢給我說他他承接那我就認了
[37:22] 那以後你們跑路的時候再不會再出來
[37:28] 跑路的就是我有遇過破產有遇過跑路的全家一起破產
[37:34] 沒有孩子才幾歲
[37:36] 因為我知道各種形式老闆破產但是公司是有利的
[37:42] 這種比較就要看他其實接手了你很痛苦
[37:48] 老闆會想跑路代表他的負債高於你資產但是他公司又盈利
[37:54] 這種其實蠻常見的
[37:58] 那對我來講我是收頭的錢不是收尾巴的錢你先付明年一年的
[38:06] 你付完之後我給你用那我不是收尾巴的那種你先用了一年之後我再去給你錢還
[38:12] 那如果中金跑路你知道那個很難追了
[38:16] 跑路這個人就不見了
[38:18] 所以我一開始就不打算要做那種後收的後收的很難做
[38:24] 金款還請到死掉
[38:28] 而且我現在也看開了如果你是屬於付金款很困難像義豐這個
[38:36] 不過我講實在他有付錢不能用我還是要保障他的權利
[38:40] 但是如果他是付錢了下次他不付錢的話那沒有人要保障你權利12月底就12月底
[38:48] 所以你去看一下是幾間店他是照你這樣算應該是
[38:54] 他現在是只有那個南華店正在用其他都沒有
[39:00] 因為你現在的邏輯是你所謂他的在用是沒有所謂技銷異動也沒有沒有進貨沒有銷貨
[39:06] 全部都是零的這邊有銷貨單出貨單全部都是零
[39:14] 他確實只有一間店這老闆的格局越做越小
[39:22] 一開始還不會講後來越做越小年紀也大換不了後面做
[39:28] 如果你把另外兩間關閉之後照理說就到
[39:38] 我那個算點會不會算對12月如果5月開始算應該1234
[39:46] 如果一間店的話應該扣5應該要算對
[39:52] 扣點的程式都還沒寫對
[39:58] 在c code裡面寫一個就是3月1號凌晨零點幾分
[40:04] 每個月的1號每個月1號
[40:10] payment會關10分鐘就是從零點零分到零點十分
[40:16] 關掉關掉是什麼關掉你要先清清庫存
[40:22] 你庫存如果有非零的你清不掉庫存要先清掉你才能先說什麼什麼東西停用
[40:28] 一開始來你就遇到這個問題對你應該知道我在講什麼
[40:36] 就是你關那個分店你庫存要先選因為他庫存是會就會去參考到
[40:42] 參考分店的分店分店代號分店編號
[40:48] 然後但是我記得那個是那個4Winkey就是外來鍵
[40:54] 所以他如果你在那個庫存那邊有資料
[40:58] 有那個分店的資料的話你分店為什麼要
[41:02] 知道庫系統的一個底層保固設定防止矛盾設定
[41:08] 我還看Time怎麼弄
[41:12] 三個重要功能
[41:16] Data Base記錄概念
[41:20] 所以你必須先到那個資料庫裡面去看分店
[41:24] 還有什麼資料庫都看的
[41:28] 燈
[41:38] 這邊我把後面跟你講完好了
[41:46] 這邊那個GTB主要是就是那個小幫手這邊
[41:50] Bug修正這個是其實是影響到他有要收群組訊息
[41:56] 這個是是那個AI客服那邊會用到的狀況
[42:00] 群組訊息對對對硬直模式之前沒有這個狀況
[42:04] 之前沒有這個狀況因為我們都是單人對單人這樣子
[42:08] 然後再來是那個圖片圖片之後也會有進來
[42:12] 然後再來是那個信心值
[42:16] 我講一段話就是他不是可以錄音嗎
[42:20] 還沒這個還沒這個我們現在是
[42:24] 信心值機制就是那個每一個重要的那個
[42:28] 要萃取的東西他會給他一個信心值
[42:32] 然後信心值目前就70分太低了就要有那個問題成心機制
[42:38] 就出現就有按鈕
[42:40] 我不知道70是怎麼樣一回事我會抓890
[42:44] 890就是你會非常有信心你會得到這個
[42:46] 那在這種情況下我就不用再問你了
[42:50] 但是你要給你現在給的是
[42:54] at just point你給的並不是說他的什麼
[42:58] 月租點數就是他的說明其實不太清楚
[43:02] at just point看得懂就看得懂看不懂的話那也沒什麼
[43:06] 那是因為我們現在剛好都公認是在用
[43:08] 沒關係他的輸出這個部分我再調整
[43:12] 然後再來就是當他的那個信心值不夠的時候
[43:14] 他就會觸發這種成心機制
[43:16] 就會開始傳按鈕或者是聽你後面傳怎麼樣的標準答案給他
[43:22] 對這個部分然後再來就是之前有講的
[43:26] 他這邊會有設計幾個小的這個資料庫進去
[43:30] 然後在那邊
[43:38] 他這邊會去記錄說你的主要就是訊息流水會在這邊
[43:44] 然後他這裡是in out是你傳進來還是他傳出去了
[43:48] 他都會記錄起來然後這裡面還有
[43:56] 就是他這裡除了這是流水
[44:02] 然後再來是那個他有提問然後等你回答的
[44:06] 他也會記錄起來這是另外一個
[44:08] 然後再來就是他會把最後實際每一個訊息進來
[44:14] 然後他做出了什麼萃取了什麼值然後他最後做出來的是什麼
[44:19] API他就把記起來這是三種成
[44:22] 然後再來還有就是他會之前講的看物表他每一個進去之後
[44:31] 你回答說他環球系統然後他只是哪一個
[44:35] 他就會把記錄起來
[44:37] 那下一次語音的部分會他語音進去之後是不是應該先看過一下看物表
[44:45] 是不是有類似的部分跟correction
[44:48] 對對對correct之後再丟進去才不會出來
[44:53] 之後就是會所以才會把這個correction把它丟進去
[45:00] 然後讓他也有判斷到類似的東西
[45:04] 其實如果今天我在開車我講了一段話
[45:07] 第一是車上噪音很嚴重
[45:11] 因為你其實就是你在開高速公路的時候
[45:14] 其實都是六七十分貝的背景噪音
[45:17] 我在講話是聽不太懂
[45:19] 這個部分如果可以做人聲降噪處理才有以慣
[45:24] 我其實在這個的話可能就要進到leaf網頁
[45:29] 用網頁裡面的程式程度要處理
[45:32] 你如果是在那個line上面我想動他的
[45:36] 當然當然我懂的意思
[45:38] 對對對就是
[45:40] 不過我講實在這個我那天是直接問那個cloud的時候
[45:46] 我直接用語音的方式問他
[45:48] 但是是在很吵的環境下
[45:51] 他其實完全聽不懂而且他預設是英文
[45:54] 當我跟他講中文的時候他還是
[45:58] 那就是我用那個跟cloud想辦法做出一個
[46:02] 那個語音輸入的程式
[46:04] 然後加上裡面背景加上我們自己公司的降噪
[46:10] 有沒有那種降噪耳機可以藍牙配對還是怎麼樣
[46:13] 沒關係不然就是我講大聲
[46:15] 讓他可以更把背景拉大
[46:19] 我之前是有看到類似竹子稿的那種機器
[46:24] 不過那個不是麥克風
[46:26] 不過我講這個這個還好
[46:29] 我想的是帶log是應該被串一串
[46:33] 他LM是LM很厲害的是
[46:37] 我常常給他一段所謂的error message
[46:40] 然後我一個空白都沒有
[46:42] 我也沒有人對我直接在error message前面或後面加我自己的字
[46:47] 他是有辦法判斷這一段是error message這一段是你的命令
[46:52] 我會丟一段error message給他跟他說
[46:55] 這個要怎麼處理
[46:57] 但是我是黏在一起的
[46:59] 但是他是有辦法去把它切開
[47:01] 這該怎麼處理這個是error message
[47:04] 他自己認得出來
[47:05] 所以我在想說帶log的部分他有辦法切
[47:08] 其實這是一個大佬
[47:10] 然後或許過幾個小時問的那個問題
[47:13] 跟現在這個一點關係都沒有
[47:16] 他現在裡面是有你現在都是in out
[47:19] Section ID的這個機制
[47:21] 他是Session OK
[47:22] 他就是說你現在這個第一個訊息進來
[47:25] 他通常就是一個要求你要做什麼了
[47:27] 然後他裡面不懂的他就會再開始問
[47:29] 所以你會看到他這邊
[47:31] 他這裡會有那個幾個來回
[47:34] 然後說好確認好就結束
[47:36] OK
[47:38] 這沒問題
[47:40] 那我現在因為他是整個系統太複雜
[47:43] 我要一項一項去改就有點難
[47:46] 我現在變成是說我都跟那個AI討論好
[47:48] 說我的方向是這樣這樣幾項
[47:50] 然後我先開一個那個測試版本
[47:54] 然後讓他就說你就整個把它做出來
[47:57] 然後我們再來測試看他的結果是怎麼樣
[47:59] 你測試的方式你跟他講叫他寫個腳本
[48:01] 現在就變成是說我原本的那個程式
[48:05] 他是單純只能接那個Line OA的
[48:09] 然後我要請他你幫我開後門
[48:11] 然後你就用腳本去灌模擬的訊息進來
[48:15] Line OA的那一支程式也是你寫的
[48:17] 因為我現在我要靠人腦去改
[48:21] 說你要自己去改已經很難了
[48:24] 沒有這個我跟你講以後大家都會遇到
[48:26] 我也發覺我現在可能沒有像以前那樣
[48:30] 沒有辦法輕力輕為去改程式了
[48:32] 很正常啊可是你輸出是三倍一樣
[48:34] 你的整個輸出是三倍一樣
[48:37] 所以你的腦袋壓根記不起來
[48:40] 就變成沒有沒有問題了這沒有問題了
[48:42] 我不知道這個狀況是好還是不好
[48:46] 然後講過的話你自己會記得
[48:49] 但是他的code你會他的code你會看不懂
[48:54] 然後你可以看這邊的話是我自己在做的一個小小的那個
[49:01] 我這邊是要看說這樣子的一個
[49:03] 他自己用那個網頁的方式做出來的這個投影片你覺得怎麼樣
[49:11] 你在講什麼
[49:12] 這個其實在講我直接開他的影片給你看
[49:16] 他多久大
[49:46] 這就是讓讓AI自己去做出來的一件事
[49:59] 他們說你首先你先自己
[50:02] 自己去做這個投影片
[50:05] 因為是做了那個內容講解
[50:08] 所以一定是對投影片講道歉
[50:11] 然後就看他這樣子去講
[50:19] 這跟現在Torzak的無人機車是一樣的
[50:29] 就是這次那個
[50:41] 這就是強化式學習
[50:43] 強化式學習他是學自己吐出來的東西
[51:11] 會一點也沒被蘇牲泛軟
[51:35] 我跟1.5倍的數據犯了
[51:37] 這太慢了
[51:39] 看一下有沒有辦法
[51:41] 防速度
[51:50] VTR就是我最學期學的那個東西
[51:52] 跟那個人工智慧的那個課
[51:54] 那老師就是上課都是這樣自己
[51:57] 摸摸摸那種展示然後
[51:59] 然後你去考超級
[52:01] 然後大家都看沒有看懂他到底搞什麼東西
[52:06] 代表你要自己玩不一樣的事情
[52:09] 對
[52:32] 這邊主要是給學長看
[52:34] 做出來的偷影片跟影片的效果
[52:39] 還不夠好
[52:43] 還是要用之前那種那個
[52:45] 那個
[52:47] NotebookLM做出來的偷影片
[52:49] 你可以用NotebookLM
[52:51] 做出來的偷影片叫他來講
[52:53] 有啊這種我也有做過
[52:55] 這種是之前在做那個
[52:57] 實驗教學的時候
[52:59] 理論的理論片都會叫
[53:01] 都會切開
[53:03] 其實你是給他一個指令叫他去
[53:05] 他都或是會操作他
[53:07] 他很多以後
[53:09] 教學影片就給他
[53:11] 是說就是像這教學影片
[53:13] 如果是這樣子的層次
[53:15] 讓他自己點點點
[53:17] 然後有在講
[53:19] 也不用講到很生動不然該講的講到這樣子
[53:21] 他的
[53:23] 他的語速是慢了點就是我不太喜歡
[53:25] 他這個可以調
[53:27] 我知道我知道他的內容我講
[53:29] 我覺得講的還行
[53:31] 就是他可能沒有去
[53:33] 預設你的聽眾
[53:35] 是哪一個層次
[53:37] 我這邊聽眾就是完全不懂
[53:39] 沒有喔你那個深度
[53:41] 學習機器學習這些東西
[53:43] 要有一點概念
[53:45] 要有一點概念
[53:47] 不過沒關係啦不過我覺得他
[53:49] 所做的偷影片很慢
[53:51] NotebookLM做得不錯
[53:53] NotebookLM就是說
[53:55] 他沒有API可以直接說你現在用
[53:57] 這個主題幫我請
[53:59] NotebookLM做
[54:01] 我要全部都手動貼工具很多
[54:03] 但是我們就挑
[54:05] 那我就NotebookLM去把投影片
[54:07] 做出來或者是
[54:09] 誰來寫大綱去HP寫大綱
[54:11] NotebookLM做投影片
[54:13] 你剛才那個叫做
[54:15] 對他多久去搶
[54:17] 這個他長出來
[54:19] 會像這樣子啊當然他的那個
[54:23] 這是我上課的時候
[54:25] 我們就是聽讓他
[54:27] 做出來這樣影片然後上課就破了
[54:29] 這個就是
[54:31] 就是用NotebookLM他做出來的
[54:33] 可以啊
[54:35] 那這個
[54:37] 他的
[54:39] 我會覺得文字的部分
[54:41] 可以再少一點這邊嗎
[54:43] 你說上一邊
[54:45] 投影片的文字
[54:47] 精準
[54:49] 幾個字就好你甚至不用是一句話
[54:51] 精準的兩個統統就夠了
[54:55] 這個就有的時候
[54:57] 在那個讓LM他去
[54:59] 自己做就會有點不可控
[55:01] 不可控制在這邊
[55:03] 現在的NotebookLM你可以針對某一個圖片
[55:05] 點之後加進去
[55:07] 他NotebookLM也在進步
[55:09] 就是看
[55:11] 之後他有沒有辦法那個他
[55:13] 也用API可以控
[55:15] 我只是在想說用在我們的系統
[55:17] 上面現階段
[55:19] 是比較需要
[55:21] 的是客服你的投影片
[55:23] 其實我們之前2018年
[55:25] 請我們那個小妹妹做的投影片
[55:27] 用到現在也都沒什麼問題
[55:29] 就基本八個步驟
[55:31] 就可以用了
[55:33] 重點是我們的人去學習那個
[55:35] 你的學習門檻要低
[55:37] 然後接下來這個部分在我們
[55:39] 應該是我去報告的時候
[55:41] 可能會用到NotebookLM
[55:43] 然後影片的部分
[55:45] 看你有沒有需要
[55:47] 通常我剛剛是要給你看
[55:49] 那個投影片
[55:51] 投影片講完然後
[55:53] 等到多久的投影片不行
[55:55] 然後NotebookLM的投影片
[55:57] OK但是由於我們的內容太少
[55:59] 其實我個人
[56:01] 喜歡的投影片是
[56:03] 我這一頁就有一個重點
[56:05] 就一個重點點名就好
[56:07] 他其實不用太花俏
[56:09] 他是有點太花俏
[56:11] 因為我們內容不夠多
[56:13] 所以他只能花俏讓他的藝術多
[56:15] 他不是幻覺就是
[56:17] 他其實很多東西講general
[56:19] general
[56:21] 大方向一定不會說
[56:23] 我們現在要的是介紹我們自己的東西
[56:25] 當然明確的我幾個
[56:27] 你可能五頁
[56:29] 五頁到十頁投影片就夠了
[56:31] 不用像以前大方向
[56:33] 大方向
[56:35] 有時候需要但大部分的時候
[56:37] 我去介紹我們是幾個點
[56:39] 點到就好我針對你的
[56:41] 痛點去把它點完
[56:43] 你就買單了還有禮拜三去的時候
[56:45] 我那個報價單要另外弄
[56:47] 就是說我現在的那個
[56:49] 進階行銷系統是一套
[56:51] 一套是三千但是多一間店多一千
[56:53] 報價單
[56:55] 他們是四間店
[56:57] 所以三千加上
[56:59] 三成一千
[57:01] 每個月三千加上
[57:03] 三千就一個主系統
[57:05] 然後其他
[57:07] 其他剩下主系統
[57:09] 就是一間店就是這個價
[57:11] 兩間店就加一千三間店就加
[57:13] 一千一千
[57:15] 會是這個價格
[57:17] 這樣的情況下
[57:19] 會比原本所有都
[57:21] 收三千來的好還是看店
[57:23] 電訊
[57:25] 我們那時候討論說不定是
[57:27] 多一個官方帳號
[57:29] 多一個三千塊
[57:31] 但是你現在的
[57:33] 可是如果是
[57:35] 這樣子的話我這邊的要怎麼去
[57:37] 界定
[57:39] 我想到的是一個問題
[57:41] 歐卡也是三千
[57:43] 但是他跟你講的
[57:45] 他跟你講的那個
[57:47] 那個是同樣一個官方帳號就
[57:49] 三千三千三千塊
[57:51] 那我們現在
[57:53] 我們現在能量跟歐卡是沒得比
[57:55] 因為他其實是多個集團在用
[57:57] 那我們有
[57:59] 我們的優勢我們不見得在未來
[58:01] 不見我們的優勢
[58:03] 是跟Post整合
[58:05] 現階段我們第一年
[58:07] 我們的合約把它打出來
[58:09] 你就寫一個簡單的合約就是第一年
[58:11] 是這樣報價
[58:13] 有規定第二年是會招原價
[58:15] 那我有個問題就是
[58:17] 那我要怎麼去區分
[58:19] 他到底目前可以使用到幾家分店
[58:21] 所以說
[58:23] 是三千加上一千一千
[58:25] 一千買像他是四間店
[58:27] 你這邊的
[58:29] 業務端交去限制說
[58:31] 他們幾間分店就要買多少
[58:33] 其實我
[58:35] 你不買
[58:37] 你那間店不能用
[58:39] 不能進去學習
[58:41] 對啊你現在
[58:43] 你那間店不能用
[58:45] 要買就全買啊我通常不會說你只買這幾天
[58:47] 那是不可能
[58:49] 要就全買
[58:51] 其實多一千也沒差
[58:53] 我們這樣講我們要比歐卡便宜
[58:55] 因為他現在目前還是比我們大
[58:57] 大很多
[58:59] 我們有優勢但是你還沒發揮出來
[59:01] 三千加一千一千一千
[59:03] 不過我現在想要考慮的是
[59:05] 我這部分的城市檢查
[59:07] 因為想說如果他們
[59:09] 假設他五間店他們只買四間
[59:11] 沒有啊
[59:13] 我們現在要買就全開
[59:15] 要買就
[59:17] 等到有那個狀況再說
[59:19] 因為這部分限制可能
[59:21] 不太好等於說你這邊
[59:23] 這間店的點數全部都是
[59:25] 部分他是
[59:27] 你沒辦法
[59:29] 因為你那間店他不開
[59:31] 的情況下
[59:33] 他點數不能用
[59:35] 門市導覽這邊我要切
[59:37] 切回
[59:39] 切回00的算了我禮拜三要去
[59:41] 買那個你要做
[59:43] 你要做個通用法
[59:45] 根本店都不一樣
[59:47] 我現在是這邊
[59:49] 這個圖片我都要手動去換
[59:51] 有沒有辦法說從資料庫
[59:53] 你把他拉兩塊
[59:55] 你都你把他拉兩塊
[59:57] 以後他就
[59:59] 點不同塊就好
[01:00:01] 我先去demo五星就
[01:00:03] 還是我自己這邊可以清換就好
[01:00:05] 那可能要再做一個
[01:00:07] 進行系統
[01:00:09] 因為應該講說我目前呢
[01:00:11] 剛剛看到那個會員資料
[01:00:13] 只要你是不同的
[01:00:15] 只要我在那邊都放一個檔
[01:00:17] 就是放一個新的
[01:00:19] 放一個新的網站你就可以直接消耳機
[01:00:21] 就只要庫就
[01:00:23] 只要庫內容是可以直接消耳機的
[01:00:25] 那你懂不懂
[01:00:27] 但我不確定至少那邊的
[01:00:29] 包來我們能不能做到這種
[01:00:31] 這種前例
[01:00:33] 這個是已經告訴我們了
[01:00:35] 其實我就是禮拜三
[01:00:37] 能的話可以切換
[01:00:39] 但我會先跟你講
[01:00:41] 但之後還是必須
[01:00:43] 我今天要跑哪個店我
[01:00:45] 可以的話可以切過去
[01:00:47] 你只要給我地址
[01:00:49] 我就可以把那個生成
[01:00:51] 對啊
[01:00:53] 地址其實分店裡面就有
[01:00:55] 你是哪一個縣哪一個區你只要有輸入
[01:00:57] 我就可以生成圖片裡面
[01:00:59] 圖片從Google上面抓也有吧
[01:01:01] 你現在導覽的圖片是
[01:01:03] 自己抓的
[01:01:05] 你去網路上找掃語心找靈異通訊
[01:01:07] 還剛好抓到他們每一間店
[01:01:09] 這個可能也要想一下
[01:01:11] 如果有多間客戶的話
[01:01:13] 要準備自動去抓
[01:01:15] 不然你自己去抓
[01:01:17] 不然你把圖片給我
[01:01:19] 我把你把網站弄起來
[01:01:21] 了不起了
[01:01:23] 我覺得你不用去考慮
[01:01:25] 要就全買要不就不買
[01:01:27] 那我就在這方面
[01:01:29] 就不做限制了
[01:01:31] 不把全買要不就不買
[01:01:33] 我剛剛聽到這個
[01:01:35] 我剛剛一直在想說
[01:01:37] 我們的價格比較低
[01:01:39] 我們也比較有辦法競爭
[01:01:41] 但是不要少賺太多
[01:01:43] 不要少賺太多
[01:01:45] 因為你如果一套三千塊真的是少賺太多
[01:01:47] 對啊
[01:01:49] 我的功能又很全面
[01:01:51] 現在講這有點早
[01:01:53] 好像有點滿足
[01:01:55] 我們的bug可能還是多了
[01:01:57] 跟3一樣
[01:01:59] 你不要太相信Codex寫出來
[01:02:01] 我到目前為止它還沒有一個完全對的
[01:02:03] 我的眾球合併案
[01:02:05] 都還有時候會誤判
[01:02:07] 因為基本上是
[01:02:09] 他寫完我把所有的機構手續
[01:02:11] 每時候做的東西都不要賣
[01:02:13] 但他的bug也可以叫死
[01:02:15] 我講實在
[01:02:17] 我之前去看他的call
[01:02:19] 這寫得還是真是沒效率
[01:02:21] 學長你可以試試看Codex
[01:02:23] 兩個我都有試用
[01:02:25] 你有資格講話
[01:02:27] 我兩個都有
[01:02:29] 應該講說他寫完的Codex
[01:02:31] 我也不會完全用
[01:02:33] 那就是有問題
[01:02:35] 其實下一支我想買一個
[01:02:37] 可以翻蓋的手機
[01:02:39] 它就是貼在車上的時候
[01:02:41] 它可以遠端遙控用電的
[01:02:43] 就是它那個agent
[01:02:45] 我是很希望
[01:02:47] 現在大概五六家在做agent
[01:02:49] 五六間在做agent
[01:02:51] 就是我可以手機去跟他講
[01:02:53] 因為你
[01:02:55] 不論是cloud code或者是Codex
[01:02:57] 它其實都在window phone
[01:02:59] 就是在我們的電腦上面run
[01:03:01] 我一定是要手機跟遙控
[01:03:03] 回去run完結果給我
[01:03:05] 我一定是一大堆東西要做的
[01:03:07] 像我在外面我現在是沒辦法去
[01:03:09] 去弄
[01:03:11] 它應該是要列表
[01:03:13] 這個好了就換這個
[01:03:15] 不然就排定時間再做
[01:03:17] 因為有時候我會
[01:03:19] 它CPU沒有塞滿我會罵它
[01:03:21] 你這個CPU沒有塞滿
[01:03:23] 你做一個CPU可以塞幾個
[01:03:25] 所以那個UI弄給我
[01:03:27] 我針對我的CPU我去把它塞滿
[01:03:29] GP我把它塞滿
[01:03:35] 先這樣吧
[01:03:37] 好那我現在趕快把那個
[01:03:39] 分電那個電切換過去
